Longitude,Latitude,D (m),log(d)
-105.783,36.607,0.02181,-1.6613443344212997
-105.637,36.62,0.01978,-1.7037737127388397
-105.491,36.632,0.0177,-1.7520267336381934
-105.653,36.735,0.01807,-1.743041847439068
-105.507,36.748,0.01663,-1.779107750780481
-105.67,36.85,0.01683,-1.7739158840241762
-106.856,36.856,0.01101,-1.9582126810282483
-105.524,36.863,0.01592,-1.79805693659835
-106.71,36.87,0.01264,-1.8982529260536336
-105.686,36.966,0.01619,-1.7907531512466264
-106.875,36.971,0.01093,-1.9613798380502967
-105.54,36.978,0.01555,-1.808269606637144
-106.728,36.985,0.01224,-1.9122185821904576
-105.393,36.991,0.01476,-1.8309136425129773
-107.04,37.071,0.00894,-2.048662481204082
-105.703,37.081,0.01596,-1.796967112985289
-106.893,37.086,0.01094,-1.960982678002588
-105.556,37.094,0.01524,-1.8170150329964183
-106.747,37.1,0.01172,-1.931072388317928
-105.409,37.107,0.01435,-1.8431480989299889
-105.263,37.119,0.01224,-1.9122185821904576
-107.058,37.186,0.00873,-2.0589857562944305
-106.912,37.201,0.01046,-1.9804683154687448
-105.573,37.209,0.01493,-1.8259401922749745
-106.765,37.215,0.01114,-1.9531148091622896
-105.426,37.222,0.01351,-1.8693446509779692
-105.279,37.234,0.01163,-1.9344202852715515
-107.077,37.302,0.0084,-2.0757207139381184
-105.736,37.311,0.0148,-1.8297382846050425
-106.93,37.316,0.00955,-2.0199966284162536
-105.589,37.324,0.01421,-1.8474059220725303
-105.442,37.337,0.01263,-1.898596649444669
-105.295,37.35,0.01092,-1.9617773616312817
-105.753,37.427,0.01399,-1.8541822855081724
-105.606,37.44,0.01322,-1.8787685448503784
-105.458,37.452,0.01178,-1.9288547095489168
-105.311,37.465,0.01018,-1.99225222199926
-107.409,37.502,0.00532,-2.274088367704952
-107.262,37.517,0.0062,-2.207608310501746
-105.77,37.542,0.01315,-1.8810742471742232
-105.622,37.555,0.01228,-1.9108016331948512
-105.474,37.568,0.01096,-1.9601894458516496
-105.327,37.58,0.00938,-2.027797161620936
-107.576,37.602,0.00408,-2.38933983691012
-107.428,37.617,0.00505,-2.2967086218813386
-107.281,37.632,0.00587,-2.2313618987523856
-107.133,37.647,0.00657,-2.18243463044022
-105.787,37.657,0.0123,-1.9100948885606024
-105.639,37.67,0.01132,-1.9461535731477475
-105.491,37.683,0.01015,-1.993533957750768
-105.343,37.696,0.00842,-2.0746879085003505
-107.743,37.701,0.00276,-2.5590909179347823
-107.595,37.717,0.00399,-2.399027104313252
-107.448,37.732,0.00476,-2.322393047279507
-107.3,37.747,0.00555,-2.255707016877324
-107.152,37.762,0.00619,-2.208309350979882
-105.803,37.772,0.01149,-1.9396799713117148
-105.655,37.785,0.01034,-1.9854794612420763
-105.507,37.798,0.0091,-2.0409586076789066
-107.911,37.8,0.00182,-2.7399286120149253
-105.359,37.811,0.0073,-2.136677139879544
-107.763,37.816,0.00259,-2.586700235918748
-107.615,37.832,0.0037,-2.431798275933005
-107.467,37.847,0.00452,-2.344861565188618
-107.319,37.862,0.00527,-2.2781893847874533
-105.969,37.874,0.0111,-1.9546770212133424
-107.171,37.877,0.00592,-2.2276782932770804
-105.82,37.888,0.01059,-1.975104039892515
-107.023,37.892,0.00658,-2.1817741063860443
-105.672,37.901,0.00939,-2.027334407733889
-105.524,37.914,0.00785,-2.105130343254748
-107.931,37.915,0.00168,-2.774690718274137
-105.375,37.926,0.00597,-2.224025668870631
-107.783,37.931,0.0024,-2.619788758288394
-107.635,37.947,0.0034,-2.468521082957745
-107.487,37.962,0.00427,-2.369572124974976
-107.339,37.977,0.00496,-2.3045183235098023
-105.986,37.99,0.01036,-1.9846402445907856
-107.191,37.992,0.00573,-2.24184537803261
-105.837,38.003,0.0094,-2.026872146400301
-107.042,38.007,0.00604,-2.218963061378868
-108.099,38.014,0.00117,-2.9318141382538383
-105.689,38.016,0.00813,-2.089909454405932
-106.894,38.021,0.00666,-2.176525770829699
-105.54,38.029,0.00633,-2.198596289982645
-107.951,38.03,0.00154,-2.812479279163537
-107.803,38.046,0.00213,-2.6716203965612624
-107.655,38.061,0.00299,-2.5243288116755704
-107.506,38.077,0.00401,-2.396855627379818
-107.358,38.092,0.00458,-2.339134521996131
-106.003,38.105,0.00909,-2.0414361167780326
-107.21,38.107,0.00526,-2.279014255846261
-105.854,38.118,0.00795,-2.099632871343529
-107.061,38.122,0.00548,-2.261219441515631
-108.12,38.129,0.00103,-2.9871627752948275
-105.706,38.131,0.00654,-2.184422251675733
-106.913,38.136,0.00594,-2.2262135550188065
-105.557,38.144,0.00492,-2.30803489723264
-107.971,38.145,0.00139,-2.856985199745905
-106.764,38.151,0.00645,-2.1904402853647325
-107.823,38.161,0.00186,-2.7304870557820835
-107.675,38.176,0.00255,-2.593459819566045
-107.526,38.192,0.00351,-2.454692883534176
-106.169,38.206,0.00797,-2.098541678603888
-107.378,38.207,0.00414,-2.382999658879101
-106.02,38.22,0.00743,-2.1290111862394245
-107.229,38.222,0.00445,-2.3516399890190685
-105.871,38.233,0.00638,-2.1951793212788377
-107.08,38.237,0.0048,-2.318758762624413
-108.14,38.244,0.00092,-3.036212172654445
-105.722,38.246,0.00502,-2.2992962828549808
-106.931,38.251,0.00518,-2.285670240254767
-105.573,38.259,0.00396,-2.402304814074488
-107.992,38.26,0.00122,-2.913640169325252
-106.783,38.266,0.00569,-2.2448877336049287
-107.843,38.276,0.0016,-2.795880017344075
-106.634,38.28,0.00621,-2.20690839982342
-107.695,38.291,0.00221,-2.6556077263148894
-106.485,38.294,0.00676,-2.170053304058364
-107.546,38.307,0.00273,-2.563837352959244
-106.336,38.308,0.00672,-2.1726307269461747
-106.187,38.322,0.00646,-2.189767482004916
-107.397,38.322,0.00341,-2.4672456210075024
-106.038,38.335,0.00566,-2.2471835688117285
-107.248,38.337,0.00363,-2.440093374963888
-105.889,38.349,0.00479,-2.319664486585437
-107.099,38.352,0.00398,-2.4001169279263124
-108.161,38.359,0.00081,-3.0915149811213505
-105.739,38.362,0.00389,-2.4100503986742923
-106.95,38.366,0.0043,-2.3665315444204134
-108.012,38.375,0.00107,-2.9706162223147903
-106.801,38.381,0.0048,-2.318758762624413
-107.864,38.391,0.00136,-2.8664610916297826
-106.652,38.395,0.0051,-2.292429823902064
-107.715,38.406,0.00177,-2.752026733638193
-106.503,38.409,0.00549,-2.260427655549908
-107.566,38.422,0.0021,-2.677780705266081
-106.354,38.423,0.00526,-2.279014255846261
-106.204,38.437,0.00491,-2.308918507877032
-107.417,38.437,0.00251,-2.600326278518962
-106.055,38.45,0.00416,-2.380906669373257
-107.268,38.452,0.00273,-2.563837352959244
-105.906,38.464,0.00356,-2.4485500020271247
-107.118,38.467,0.00296,-2.5287082889410613
-108.182,38.474,0.00071,-3.1487416512809245
-105.756,38.477,0.00305,-2.515700160653214
-106.969,38.481,0.0032,-2.494850021680094
-108.033,38.49,0.00091,-3.0409586076789066
-106.82,38.496,0.0035,-2.4559319556497243
-107.884,38.506,0.00118,-2.9281179926938745
-106.671,38.51,0.00376,-2.424812155072339
-107.735,38.521,0.00137,-2.8632794328435933
-106.521,38.524,0.00401,-2.396855627379818
-107.585,38.537,0.00161,-2.7931741239681505
-106.372,38.538,0.00384,-2.415668775632469
-107.436,38.552,0.00183,-2.7375489102695707
-106.222,38.552,0.00354,-2.4509967379742124
-106.073,38.566,0.00311,-2.5072396109731625
-107.287,38.567,0.00204,-2.690369832574101
-105.923,38.579,0.00277,-2.557520230935552
-107.138,38.582,0.00224,-2.6497519816658373
-105.773,38.592,0.00244,-2.612610173661271
-106.988,38.597,0.00254,-2.595166283380062
-108.054,38.605,0.00078,-3.10790539730952
-106.839,38.611,0.00264,-2.5783960731301687
-107.904,38.621,0.00097,-3.0132282657337552
-106.689,38.625,0.0028,-2.552841968657781
-107.755,38.636,0.00113,-2.9469215565165805
-106.539,38.639,0.0028,-2.552841968657781
-107.605,38.652,0.00132,-2.87942606879415
-106.39,38.653,0.00273,-2.563837352959244
-107.456,38.667,0.0015,-2.8239087409443187
-106.24,38.667,0.00259,-2.586700235918748
-106.09,38.681,0.00243,-2.614393726401688
-107.306,38.682,0.00172,-2.7644715530924517
-105.94,38.694,0.00218,-2.661543506395395
-107.157,38.697,0.00184,-2.735182176990464
-105.79,38.707,0.002,-2.6989700043360187
-107.007,38.712,0.00206,-2.6861327796308467
-108.074,38.72,0.00068,-3.167491087293764
-106.857,38.726,0.00213,-2.6716203965612624
-107.925,38.736,0.00082,-3.0861861476162837
-106.708,38.74,0.00223,-2.65169513695184
-107.775,38.751,0.00097,-3.0132282657337552
-106.558,38.755,0.00221,-2.6556077263148894
-107.625,38.767,0.00115,-2.939302159646388
-106.408,38.769,0.00215,-2.6675615400843946
-107.476,38.782,0.00134,-2.8728952016351923
-106.258,38.782,0.00205,-2.688246138944246
-106.108,38.796,0.002,-2.6989700043360187
-107.326,38.797,0.00153,-2.815308569182401
-105.958,38.809,0.00177,-2.752026733638193
-107.176,38.812,0.00167,-2.7772835288524167
-105.808,38.823,0.0016,-2.795880017344075
-107.026,38.827,0.00176,-2.75448733218585
-105.657,38.836,0.0014,-2.853871964321762
-106.876,38.841,0.00185,-2.7328282715969863
-107.945,38.85,0.00072,-3.1426675035687315
-106.726,38.856,0.0019,-2.721246399047171
-107.795,38.866,0.00088,-3.0555173278498318
-106.576,38.87,0.00188,-2.72584215073632
-107.645,38.882,0.00106,-2.9746941347352296
-106.426,38.884,0.00182,-2.7399286120149253
-107.495,38.897,0.00135,-2.869666231504994
-106.276,38.898,0.00175,-2.7569619513137056
-106.125,38.911,0.00164,-2.785156151952302
-107.345,38.912,0.00143,-2.844663962534938
-105.975,38.925,0.0015,-2.8239087409443187
-107.195,38.927,0.0016,-2.795880017344075
-105.825,38.938,0.00136,-2.8664610916297826
-107.045,38.942,0.00166,-2.779891911959945
-105.674,38.951,0.00122,-2.913640169325252
-106.895,38.956,0.00172,-2.7644715530924517
-107.966,38.965,0.00067,-3.1739251972991736
-106.745,38.971,0.00173,-2.7619538968712045
-107.816,38.981,0.00083,-3.0809219076239263
-106.594,38.985,0.00174,-2.7594507517174
-107.666,38.997,0.00102,-2.9913998282380825
-106.444,38.999,0.00162,-2.790484985457369
-107.515,39.012,0.00129,-2.889410289700751
-106.294,39.013,0.00158,-2.8013429130455774
-106.143,39.026,0.00144,-2.8416375079047502
-107.365,39.027,0.00146,-2.835647144215563
-105.993,39.04,0.00134,-2.8728952016351923
-107.215,39.042,0.00163,-2.7878123955960423
-105.842,39.053,0.00122,-2.913640169325252
-107.064,39.057,0.00169,-2.7721132953863266
-105.691,39.066,0.00111,-2.9546770212133424
-106.914,39.071,0.0017,-2.769551078621726
-107.986,39.08,0.00064,-3.193820026016113
-106.763,39.086,0.00165,-2.7825160557860937
-107.836,39.096,0.00078,-3.10790539730952
-106.613,39.1,0.00166,-2.779891911959945
-107.686,39.111,0.00101,-2.9956786262173574
-106.462,39.114,0.0015,-2.8239087409443187
-107.535,39.127,0.00122,-2.913640169325252
-106.312,39.128,0.00142,-2.847711655616944
-106.161,39.142,0.00133,-2.876148359032914
-107.385,39.142,0.00152,-2.818156412055228
-106.01,39.155,0.00124,-2.906578314837765
-107.234,39.157,0.00176,-2.75448733218585
-105.859,39.168,0.00114,-2.9430951486635277
-107.084,39.172,0.00183,-2.7375489102695707
-108.157,39.179,0.00051,-3.292429823902064
-105.708,39.182,0.00103,-2.9871627752948275
-106.933,39.186,0.0017,-2.769551078621726
-108.007,39.195,0.00064,-3.193820026016113
-106.782,39.201,0.00165,-2.7825160557860937
-107.857,39.211,0.00074,-3.130768280269024
-106.631,39.215,0.00148,-2.8297382846050425
-107.706,39.226,0.00093,-3.0315170514460648
-106.481,39.229,0.00141,-2.85078088734462
-107.555,39.242,0.00116,-2.9355420107730814
-106.33,39.243,0.00134,-2.8728952016351923
-106.179,39.257,0.00128,-2.892790030352132
-107.405,39.257,0.0015,-2.8239087409443187
-106.028,39.27,0.00119,-2.9244530386074694
-105.877,39.284,0.00109,-2.962573502059376
-107.103,39.287,0.00206,-2.6861327796308467
-108.178,39.294,0.00052,-3.283996656365201
-105.725,39.297,0.00096,-3.017728766960432
-106.952,39.301,0.00162,-2.790484985457369
-108.028,39.31,0.00059,-3.229147988357856
-106.801,39.316,0.00153,-2.815308569182401
-107.877,39.326,0.00069,-3.161150909262745
-106.65,39.33,0.00138,-2.8601209135987635
-107.726,39.341,0.00084,-3.0757207139381184
-106.499,39.344,0.00135,-2.869666231504994
-107.575,39.357,0.00106,-2.9746941347352296
-106.348,39.358,0.00135,-2.869666231504994
-109.578,39.372,0.00107,-2.9706162223147903
-106.197,39.372,0.00135,-2.869666231504994
-107.424,39.372,0.00134,-2.8728952016351923
-106.045,39.385,0.00127,-2.896196279044043
-107.273,39.387,0.00161,-2.7931741239681505
-105.894,39.399,0.00116,-2.9355420107730814
-107.122,39.402,0.00168,-2.774690718274137
-108.2,39.409,0.00052,-3.283996656365201
-105.743,39.412,0.00093,-3.0315170514460648
-106.971,39.417,0.00147,-2.832682665251824
-108.049,39.425,0.00056,-3.2518119729938
-106.82,39.431,0.00134,-2.8728952016351923
-107.898,39.441,0.00065,-3.1870866433571443
-106.669,39.445,0.00131,-2.882728704344236
-107.747,39.456,0.00076,-3.1191864077192086
-106.517,39.459,0.00138,-2.8601209135987635
-107.595,39.472,0.00094,-3.026872146400301
-106.366,39.473,0.00152,-2.818156412055228
-109.601,39.486,0.00121,-2.91721462968355
-107.444,39.487,0.00112,-2.9507819773298185
-106.215,39.487,0.00162,-2.790484985457369
-106.063,39.501,0.00152,-2.818156412055228
-107.293,39.502,0.00142,-2.847711655616944
-109.451,39.504,0.00093,-3.0315170514460648
-108.372,39.508,0.00046,-3.337242168318426
-105.911,39.514,0.00134,-2.8728952016351923
-107.142,39.517,0.0013,-2.886056647693163
-108.221,39.524,0.00049,-3.309803919971486
-105.76,39.527,0.00103,-2.9871627752948275
-106.99,39.532,0.00126,-2.899629454882437
-108.07,39.54,0.00054,-3.2676062401770314
-106.839,39.546,0.00122,-2.913640169325252
-107.918,39.556,0.00061,-3.214670164989233
-106.687,39.56,0.00129,-2.889410289700751
-107.767,39.571,0.0007,-3.154901959985743
-108.847,39.573,0.0005,-3.3010299956639813
-106.536,39.575,0.00151,-2.8210230527068307
-107.616,39.587,0.00084,-3.0757207139381184
-106.384,39.589,0.00171,-2.7670038896078464
-108.696,39.59,0.00049,-3.309803919971486
-109.625,39.601,0.00128,-2.892790030352132
-107.464,39.602,0.00095,-3.0222763947111524
-106.232,39.602,0.00166,-2.779891911959945
-108.544,39.606,0.00046,-3.337242168318426
-106.081,39.616,0.00156,-2.8068754016455384
-107.313,39.617,0.00109,-2.962573502059376
-109.474,39.619,0.00101,-2.9956786262173574
-108.393,39.623,0.00047,-3.3279021420642825
-105.929,39.629,0.0014,-2.853871964321762
-107.161,39.632,0.0011,-2.958607314841775
-109.323,39.636,0.00083,-3.0809219076239263
-108.242,39.639,0.00048,-3.318758762624413
-105.777,39.643,0.00119,-2.9244530386074694
-107.01,39.647,0.00112,-2.9507819773298185
-109.172,39.654,0.0007,-3.154901959985743
-108.09,39.655,0.00052,-3.283996656365201
-106.858,39.661,0.00117,-2.9318141382538383
-107.939,39.671,0.00058,-3.2365720064370627
-109.02,39.671,0.00061,-3.214670164989233
-106.706,39.676,0.00137,-2.8632794328435933
-107.787,39.686,0.00067,-3.1739251972991736
-108.869,39.688,0.00055,-3.2596373105057563
-106.554,39.69,0.0016,-2.795880017344075
-107.636,39.702,0.00073,-3.136677139879544
-106.402,39.704,0.00171,-2.7670038896078464
-108.718,39.704,0.00052,-3.283996656365201
-107.484,39.717,0.00084,-3.0757207139381184
-106.251,39.718,0.00154,-2.812479279163537
-108.566,39.721,0.00048,-3.318758762624413
-106.099,39.731,0.00143,-2.844663962534938
-107.332,39.732,0.00091,-3.0409586076789066
-109.497,39.733,0.00108,-2.96657624451305
-108.415,39.737,0.00047,-3.3279021420642825
-105.947,39.745,0.00132,-2.87942606879415
-107.181,39.747,0.00097,-3.0132282657337552
-109.346,39.751,0.0009,-3.0457574905606752
-108.263,39.754,0.00048,-3.318758762624413
-105.794,39.758,0.00121,-2.91721462968355
-107.029,39.762,0.00104,-2.98296666070122
-109.194,39.768,0.00077,-3.113509274827518
-108.111,39.77,0.00051,-3.292429823902064
-106.877,39.776,0.00121,-2.91721462968355
-109.043,39.785,0.00067,-3.1739251972991736
-107.96,39.786,0.00056,-3.2518119729938
-106.725,39.791,0.00153,-2.815308569182401
-107.808,39.801,0.00064,-3.193820026016113
-108.891,39.802,0.00063,-3.2006594505464183
-106.573,39.805,0.00168,-2.774690718274137
-107.656,39.817,0.00066,-3.1804560644581312
-106.421,39.819,0.00159,-2.7986028756795487
-108.74,39.819,0.00053,-3.275724130399211
-107.504,39.832,0.00074,-3.130768280269024
-106.269,39.833,0.00146,-2.835647144215563
-108.588,39.836,0.0005,-3.3010299956639813
-106.116,39.846,0.00135,-2.869666231504994
-107.352,39.847,0.00082,-3.0861861476162837
-109.52,39.848,0.00116,-2.9355420107730814
-108.436,39.852,0.00048,-3.318758762624413
-105.964,39.86,0.00125,-2.903089986991944
-107.2,39.862,0.00091,-3.0409586076789066
-109.369,39.866,0.00097,-3.0132282657337552
-108.284,39.869,0.00049,-3.309803919971486
-105.812,39.873,0.00116,-2.9355420107730814
-107.048,39.877,0.00102,-2.9913998282380825
-109.217,39.883,0.00086,-3.065501548756432
-108.133,39.885,0.00051,-3.292429823902064
-106.896,39.891,0.00132,-2.87942606879415
-109.065,39.9,0.00074,-3.130768280269024
-107.981,39.901,0.00056,-3.2518119729938
-106.744,39.906,0.00162,-2.790484985457369
-107.829,39.916,0.00058,-3.2365720064370627
-108.914,39.917,0.00065,-3.1870866433571443
-106.592,39.92,0.00173,-2.7619538968712045
-107.677,39.932,0.00062,-3.207608310501746
-108.762,39.934,0.00057,-3.2441251443275085
-106.439,39.934,0.00157,-2.8041003475907664
-107.524,39.947,0.00069,-3.161150909262745
