Longitude,Latitude,D (m),log(d)
-73.683,40.64,0.00031,-3.508638306165728
-73.792,40.663,0.00035,-3.4559319556497243
-73.943,40.689,0.00038,-3.42021640338319
-74.095,40.714,0.00039,-3.408935392973501
-73.164,40.733,0.00017,-3.769551078621726
-73.397,40.774,0.00025,-3.6020599913279625
-73.758,40.776,0.00037,-3.431798275933005
-73.909,40.802,0.0004,-3.397940008672037
-72.644,40.825,0.00011,-3.958607314841775
-74.061,40.827,0.00041,-3.3872161432802645
-74.213,40.853,0.0004,-3.397940008672037
-72.877,40.866,0.00014,-3.853871964321762
-73.11,40.907,0.00018,-3.744727494896694
-73.875,40.915,0.00041,-3.3872161432802645
-74.027,40.941,0.00042,-3.3767507096021
-72.356,40.957,0.0001,-4.0
-74.179,40.966,0.0004,-3.397940008672037
-73.689,41.003,0.00037,-3.431798275933005
-73.841,41.028,0.00041,-3.3872161432802645
-73.993,41.054,0.00041,-3.3872161432802645
-74.145,41.079,0.00039,-3.408935392973501
-74.297,41.104,0.00034,-3.4685210829577446
-73.654,41.116,0.00035,-3.4559319556497243
-72.299,41.13,0.00012,-3.9208187539523753
-73.806,41.142,0.00039,-3.408935392973501
-73.523,41.162,0.0003,-3.5228787452803374
-73.959,41.167,0.00039,-3.408935392973501
-74.111,41.193,0.00036,-3.4436974992327127
-73.619,41.229,0.00032,-3.494850021680094
-73.772,41.255,0.00035,-3.4559319556497243
-73.0,41.255,0.00018,-3.744727494896694
-72.008,41.261,0.00012,-3.9208187539523753
-74.226,41.28,0.0003,-3.5228787452803374
-73.924,41.28,0.00035,-3.4559319556497243
-73.234,41.296,0.00021,-3.677780705266081
-72.242,41.304,0.00014,-3.853871964321762
-74.077,41.306,0.00032,-3.494850021680094
-73.469,41.336,0.00025,-3.6020599913279625
-72.476,41.346,0.00016,-3.795880017344075
-73.704,41.376,0.00028,-3.552841968657781
-72.71,41.388,0.00017,-3.769551078621726
-71.716,41.392,0.00013,-3.886056647693163
-73.939,41.416,0.00028,-3.552841968657781
-72.945,41.429,0.00017,-3.769551078621726
-71.95,41.435,0.00014,-3.853871964321762
-73.179,41.47,0.00017,-3.769551078621726
-72.185,41.477,0.00015,-3.823908740944319
-73.415,41.51,0.00019,-3.721246399047171
-72.419,41.52,0.00016,-3.795880017344075
-71.424,41.521,0.00014,-3.853871964321762
-73.65,41.55,0.00021,-3.677780705266081
-72.654,41.562,0.00016,-3.795880017344075
-71.658,41.565,0.00014,-3.853871964321762
-73.886,41.59,0.0002,-3.6989700043360183
-72.889,41.603,0.00015,-3.823908740944319
-71.892,41.608,0.00014,-3.853871964321762
-74.121,41.629,0.00017,-3.769551078621726
-73.124,41.644,0.00015,-3.823908740944319
-72.127,41.651,0.00015,-3.823908740944319
-73.36,41.684,0.00015,-3.823908740944319
-72.362,41.693,0.00015,-3.823908740944319
-73.596,41.725,0.00015,-3.823908740944319
-72.598,41.735,0.00014,-3.853871964321762
-71.599,41.738,0.00015,-3.823908740944319
-73.832,41.764,0.00014,-3.853871964321762
-72.833,41.777,0.00013,-3.886056647693163
-71.834,41.782,0.00015,-3.823908740944319
-74.069,41.804,0.00013,-3.886056647693163
-73.069,41.818,0.00012,-3.9208187539523753
-72.069,41.825,0.00014,-3.853871964321762
-73.305,41.859,0.00012,-3.9208187539523753
-72.305,41.867,0.00013,-3.886056647693163
-71.305,41.868,0.00018,-3.744727494896694
-73.542,41.899,0.00012,-3.9208187539523753
-72.541,41.909,0.00012,-3.9208187539523753
-71.54,41.912,0.00017,-3.769551078621726
-73.778,41.939,0.00012,-3.9208187539523753
-72.777,41.951,0.00011,-3.958607314841775
-71.775,41.955,0.00016,-3.795880017344075
-74.015,41.978,0.00011,-3.958607314841775
-73.014,41.992,0.0001,-4.0
-72.011,41.998,0.00014,-3.853871964321762
-73.25,42.033,0.0001,-4.0
-72.247,42.041,0.00013,-3.886056647693163
-71.244,42.041,0.00022,-3.657577319177794
-73.487,42.073,0.0001,-4.0
-72.484,42.083,0.00011,-3.958607314841775
-71.48,42.085,0.00022,-3.657577319177794
-73.725,42.113,0.00011,-3.958607314841775
-72.721,42.125,0.0001,-4.0
-71.716,42.129,0.0002,-3.6989700043360183
-73.962,42.152,0.00011,-3.958607314841775
-72.958,42.166,0.0001,-4.0
-71.953,42.172,0.00017,-3.769551078621726
-73.195,42.207,9e-05,-4.045757490560675
-72.19,42.214,0.00015,-3.823908740944319
-73.433,42.247,0.0001,-4.0
-72.427,42.257,0.00012,-3.9208187539523753
-71.421,42.258,0.0003,-3.5228787452803374
-73.67,42.287,0.00011,-3.958607314841775
-72.664,42.299,0.00011,-3.958607314841775
-71.657,42.302,0.00028,-3.552841968657781
-73.908,42.327,0.00012,-3.9208187539523753
-72.901,42.34,0.0001,-4.0
-71.894,42.345,0.00024,-3.619788758288394
-73.139,42.381,9e-05,-4.045757490560675
-72.131,42.388,0.00019,-3.721246399047171
-73.377,42.422,0.0001,-4.0
-72.369,42.431,0.00015,-3.823908740944319
-73.616,42.462,0.00012,-3.9208187539523753
-72.607,42.473,0.00012,-3.9208187539523753
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
