Longitude,Latitude,D (m),log(d)
-87.935,37.348,0.01451,-1.838332587562264
-88.083,37.357,0.01983,-1.7026772857946972
-86.889,37.399,0.00049,-3.309803919971486
-87.037,37.409,0.0006,-3.2218487496163566
-87.184,37.419,0.0008,-3.096910013008056
-87.332,37.428,0.00117,-2.9318141382538383
-87.48,37.437,0.00202,-2.694648630553376
-87.628,37.446,0.00406,-2.3914739664228057
-87.776,37.455,0.00969,-2.0136762229492344
-87.924,37.464,0.01338,-1.873543886568196
-88.292,37.47,0.0318,-1.4975728800155672
-88.072,37.473,0.01798,-1.74521031260279
-88.394,37.475,0.04414,-1.355167671174364
-86.393,37.477,0.00023,-3.638272163982407
-86.621,37.493,0.00035,-3.4559319556497243
-86.876,37.515,0.00053,-3.275724130399211
-87.024,37.525,0.00067,-3.1739251972991736
-87.172,37.534,0.00087,-3.0604807473813813
-87.32,37.544,0.00122,-2.913640169325252
-88.285,37.55,0.02741,-1.5620909644605017
-87.468,37.553,0.00195,-2.709965388637482
-88.387,37.555,0.03582,-1.4458744184869874
-88.49,37.561,0.04762,-1.322210608931139
-87.616,37.562,0.00359,-2.444905551421681
-87.765,37.571,0.00734,-2.134303940083929
-87.913,37.58,0.01209,-1.917573699139228
-88.061,37.588,0.01587,-1.799423073245152
-88.209,37.597,0.02201,-1.657379957446652
-85.917,37.622,8e-05,-4.096910013008056
-88.277,37.63,0.02358,-1.6274561992409298
-86.864,37.63,0.00057,-3.2441251443275085
-88.38,37.636,0.02952,-1.529883646848996
-86.145,37.638,0.00013,-3.886056647693163
-87.012,37.64,0.00074,-3.130768280269024
-88.483,37.641,0.03696,-1.432268037451931
-88.586,37.647,0.04601,-1.337147766735204
-87.16,37.65,0.00096,-3.017728766960432
-86.373,37.655,0.00023,-3.638272163982407
-87.308,37.659,0.00128,-2.892790030352132
-87.457,37.669,0.00189,-2.723538195826756
-86.601,37.671,0.00038,-3.42021640338319
-87.605,37.678,0.00323,-2.490797477668897
-87.753,37.687,0.00571,-2.243363891754152
-87.902,37.695,0.01079,-1.966978555317089
-88.05,37.704,0.01368,-1.8639139026159024
-88.27,37.71,0.02024,-1.6937894918322385
-88.199,37.712,0.01796,-1.7456936676687145
-88.373,37.716,0.02443,-1.6120765330265632
-88.476,37.721,0.0294,-1.5316526695878427
-88.579,37.727,0.03484,-1.4579218536643743
-86.851,37.746,0.00062,-3.207608310501746
-86.999,37.756,0.00081,-3.0915149811213505
-87.148,37.766,0.00105,-2.978810700930062
-87.296,37.775,0.00139,-2.856985199745905
-85.667,37.782,6e-05,-4.221848749616356
-87.445,37.784,0.00186,-2.7304870557820835
-87.593,37.793,0.00303,-2.5185573714976948
-88.366,37.796,0.02013,-1.6961562251113456
-85.895,37.799,8e-05,-4.096910013008056
-88.469,37.801,0.02345,-1.629857152948898
-87.742,37.802,0.00456,-2.341035157335565
-88.572,37.807,0.02696,-1.5692801121367177
-87.891,37.811,0.00806,-2.093664958194909
-86.124,37.816,0.00013,-3.886056647693163
-88.039,37.82,0.01143,-1.9419537696047184
-88.188,37.828,0.01438,-1.8422411139531365
-86.352,37.833,0.00022,-3.657577319177794
-88.337,37.836,0.01753,-1.7562180839062052
-86.58,37.849,0.00039,-3.408935392973501
-86.838,37.862,0.00067,-3.1739251972991736
-86.987,37.871,0.00088,-3.0555173278498318
-87.135,37.881,0.00114,-2.9430951486635277
-87.284,37.891,0.00151,-2.8210230527068307
-87.433,37.9,0.00188,-2.72584215073632
-87.582,37.909,0.00262,-2.5816987086802548
-87.731,37.918,0.00368,-2.4341521813264824
-87.879,37.927,0.00557,-2.254144804826271
-88.028,37.935,0.0085,-2.070581074285707
-85.416,37.942,6e-05,-4.221848749616356
-88.177,37.944,0.01146,-1.940815382368629
-88.326,37.952,0.01368,-1.8639139026159024
-85.644,37.96,7e-05,-4.154901959985743
-88.475,37.96,0.01577,-1.8021683066710967
-88.624,37.968,0.01766,-1.7530093007584502
-85.873,37.977,9e-05,-4.045757490560675
-86.825,37.977,0.00071,-3.1487416512809245
-86.974,37.987,0.00094,-3.026872146400301
-86.102,37.994,0.00013,-3.886056647693163
-87.123,37.997,0.00123,-2.910094888560602
-87.272,38.006,0.00154,-2.812479279163537
-86.331,38.01,0.00022,-3.657577319177794
-87.421,38.016,0.0019,-2.721246399047171
