Longitude,Latitude,D (m),log(d)
-90.975,40.145,1e-05,-5.0
-91.33,40.156,1e-05,-5.0
-91.685,40.165,1e-05,-5.0
-92.04,40.174,1e-05,-5.0
-92.396,40.182,0.0,1e-06
-92.751,40.189,0.0,1e-06
-93.106,40.195,0.0,1e-06
-95.595,40.208,1e-05,-5.0
-90.96,40.412,1e-05,-5.0
-91.316,40.423,1e-05,-5.0
-91.673,40.433,1e-05,-5.0
-92.029,40.442,0.0,1e-06
-92.386,40.45,0.0,1e-06
-92.743,40.457,0.0,1e-06
-90.587,40.668,1e-05,-5.0
-90.945,40.68,1e-05,-5.0
-91.303,40.691,1e-05,-5.0
-91.66,40.701,1e-05,-5.0
-92.018,40.71,0.0,1e-06
-92.376,40.718,0.0,1e-06
-90.571,40.936,1e-05,-5.0
-90.93,40.948,1e-05,-5.0
-91.289,40.958,1e-05,-5.0
-91.648,40.968,1e-05,-5.0
-90.194,41.19,2e-05,-4.698970004336019
-90.554,41.203,1e-05,-5.0
-90.914,41.215,1e-05,-5.0
-91.275,41.226,1e-05,-5.0
-89.814,41.444,3e-05,-4.522878745280337
-90.176,41.458,2e-05,-4.698970004336019
-90.537,41.471,1e-05,-5.0
-90.899,41.483,1e-05,-5.0
-96.693,41.537,2e-05,-4.698970004336019
-89.794,41.711,3e-05,-4.522878745280337
-90.157,41.726,2e-05,-4.698970004336019
-90.52,41.739,1e-05,-5.0
-96.699,41.805,2e-05,-4.698970004336019
-89.775,41.979,3e-05,-4.522878745280337
-90.139,41.993,2e-05,-4.698970004336019
-90.503,42.007,1e-05,-5.0
-96.706,42.074,2e-05,-4.698970004336019
-89.754,42.247,2e-05,-4.698970004336019
-90.12,42.261,2e-05,-4.698970004336019
-96.713,42.342,2e-05,-4.698970004336019
-97.087,42.605,3e-05,-4.522878745280337
-96.719,42.61,2e-05,-4.698970004336019
-97.095,42.873,3e-05,-4.522878745280337
-96.726,42.878,2e-05,-4.698970004336019
-97.103,43.142,3e-05,-4.522878745280337
-96.733,43.147,2e-05,-4.698970004336019
-97.112,43.41,3e-05,-4.522878745280337
-96.739,43.416,2e-05,-4.698970004336019
-97.12,43.679,3e-05,-4.522878745280337
-96.746,43.684,2e-05,-4.698970004336019
-93.347,40.485,0.0,1e-06
-96.321,40.489,1e-05,-5.0
-93.941,40.492,0.0,1e-06
-95.726,40.494,1e-05,-5.0
-94.536,40.495,1e-05,-5.0
-95.131,40.496,1e-05,-5.0
-92.139,40.911,0.0,1e-06
-92.738,40.923,0.0,1e-06
-93.336,40.932,0.0,1e-06
-96.329,40.936,1e-05,-5.0
-93.935,40.938,0.0,1e-06
-95.731,40.941,1e-05,-5.0
-94.533,40.942,1e-05,-5.0
-95.132,40.943,1e-05,-5.0
-91.519,41.342,1e-05,-5.0
-92.121,41.357,0.0,1e-06
-92.723,41.369,0.0,1e-06
-93.326,41.378,0.0,1e-06
-96.338,41.382,1e-05,-5.0
-93.928,41.385,0.0,1e-06
-95.735,41.387,1e-05,-5.0
-94.53,41.388,0.0,1e-06
-95.133,41.389,1e-05,-5.0
-90.892,41.771,1e-05,-5.0
-91.497,41.788,0.0,1e-06
-92.103,41.803,0.0,1e-06
-92.709,41.816,0.0,1e-06
-93.315,41.825,0.0,1e-06
-96.346,41.829,2e-05,-4.698970004336019
-93.921,41.832,0.0,1e-06
-95.74,41.834,1e-05,-5.0
