Longitude,Latitude,D (m),log(d)
-75.881,37.643,2e-05,-4.698970004336019
-76.555,37.749,4e-05,-4.3979400086720375
-76.892,37.8,8e-05,-4.096910013008056
-77.066,37.898,0.00011,-3.958607314841775
-76.488,38.011,4e-05,-4.3979400086720375
-76.827,38.063,7e-05,-4.154901959985743
-77.022,38.073,9e-05,-4.045757490560675
-77.249,38.106,0.00013,-3.886056647693163
-75.405,38.114,1e-05,-5.0
-77.475,38.139,0.00017,-3.769551078621726
-75.743,38.168,2e-05,-4.698970004336019
-77.701,38.172,0.00021,-3.677780705266081
-76.421,38.274,4e-05,-4.3979400086720375
-77.206,38.282,0.0001,-4.0
-77.433,38.315,0.00013,-3.886056647693163
-76.761,38.325,5e-05,-4.301029995663981
-77.66,38.347,0.00014,-3.853871964321762
-75.334,38.376,2e-05,-4.698970004336019
-75.673,38.43,2e-05,-4.698970004336019
-76.013,38.484,3e-05,-4.522878745280337
-77.39,38.49,9e-05,-4.045757490560675
-77.618,38.523,0.0001,-4.0
-76.695,38.588,5e-05,-4.301029995663981
-75.262,38.637,2e-05,-4.698970004336019
-77.036,38.639,6e-05,-4.221848749616356
-77.378,38.689,7e-05,-4.154901959985743
-75.603,38.692,3e-05,-4.522878745280337
-77.721,38.737,8e-05,-4.096910013008056
-75.944,38.746,4e-05,-4.3979400086720375
-76.286,38.799,4e-05,-4.3979400086720375
-76.628,38.851,5e-05,-4.301029995663981
-76.971,38.902,6e-05,-4.221848749616356
-79.095,38.923,3e-05,-4.522878745280337
-77.314,38.952,6e-05,-4.221848749616356
-75.532,38.954,4e-05,-4.3979400086720375
-79.439,38.968,3e-05,-4.522878745280337
-77.657,39.001,6e-05,-4.221848749616356
-75.875,39.008,5e-05,-4.301029995663981
-79.784,39.011,3e-05,-4.522878745280337
-78.002,39.049,6e-05,-4.221848749616356
-76.217,39.061,5e-05,-4.301029995663981
-78.346,39.096,4e-05,-4.3979400086720375
-76.561,39.113,6e-05,-4.221848749616356
-78.691,39.142,3e-05,-4.522878745280337
-76.905,39.164,6e-05,-4.221848749616356
-79.036,39.187,3e-05,-4.522878745280337
-77.249,39.215,6e-05,-4.221848749616356
-75.461,39.216,6e-05,-4.221848749616356
-79.382,39.232,2e-05,-4.698970004336019
-77.594,39.264,5e-05,-4.301029995663981
-75.804,39.27,7e-05,-4.154901959985743
-79.728,39.275,2e-05,-4.698970004336019
-77.939,39.312,5e-05,-4.301029995663981
-76.148,39.324,7e-05,-4.154901959985743
-78.285,39.359,4e-05,-4.3979400086720375
-75.98,39.37,8e-05,-4.096910013008056
-76.493,39.376,7e-05,-4.154901959985743
-76.209,39.405,8e-05,-4.096910013008056
-78.631,39.406,3e-05,-4.522878745280337
-76.838,39.427,7e-05,-4.154901959985743
-76.439,39.44,8e-05,-4.096910013008056
-78.978,39.451,2e-05,-4.698970004336019
-75.473,39.473,9e-05,-4.045757490560675
-77.184,39.478,6e-05,-4.221848749616356
-79.325,39.496,2e-05,-4.698970004336019
-75.703,39.509,9e-05,-4.045757490560675
-77.53,39.527,5e-05,-4.301029995663981
-79.672,39.539,2e-05,-4.698970004336019
-75.933,39.545,0.0001,-4.0
-77.876,39.576,4e-05,-4.3979400086720375
-76.163,39.58,0.0001,-4.0
-80.02,39.582,2e-05,-4.698970004336019
-76.394,39.615,0.0001,-4.0
-78.223,39.623,3e-05,-4.522878745280337
-75.425,39.648,0.00011,-3.958607314841775
-76.624,39.65,9e-05,-4.045757490560675
-78.57,39.67,3e-05,-4.522878745280337
-76.855,39.684,8e-05,-4.096910013008056
-75.655,39.684,0.00012,-3.9208187539523753
-78.918,39.715,2e-05,-4.698970004336019
-75.886,39.72,0.00012,-3.9208187539523753
-77.118,39.741,6e-05,-4.221848749616356
-76.117,39.755,0.00012,-3.9208187539523753
-79.267,39.76,2e-05,-4.698970004336019
-77.465,39.79,5e-05,-4.301029995663981
-76.348,39.79,0.00012,-3.9208187539523753
-79.615,39.803,1e-05,-5.0
-75.377,39.822,0.00012,-3.9208187539523753
-76.579,39.825,0.0001,-4.0
-77.813,39.839,4e-05,-4.3979400086720375
-79.964,39.846,2e-05,-4.698970004336019
-75.608,39.859,0.00013,-3.886056647693163
-76.81,39.859,8e-05,-4.096910013008056
-78.161,39.887,3e-05,-4.522878745280337
-75.839,39.895,0.00014,-3.853871964321762
-76.07,39.93,0.00013,-3.886056647693163
-78.51,39.933,2e-05,-4.698970004336019
-76.302,39.965,0.00012,-3.9208187539523753
-78.859,39.979,2e-05,-4.698970004336019
-75.328,39.997,0.00013,-3.886056647693163
-76.533,40.0,0.0001,-4.0
-77.051,40.004,6e-05,-4.221848749616356
-79.208,40.024,2e-05,-4.698970004336019
-75.56,40.034,0.00013,-3.886056647693163
-76.765,40.034,8e-05,-4.096910013008056
-77.4,40.053,4e-05,-4.3979400086720375
-79.558,40.068,1e-05,-5.0
-75.791,40.07,0.00014,-3.853871964321762
-77.749,40.102,3e-05,-4.522878745280337
-76.023,40.105,0.00013,-3.886056647693163
-76.255,40.14,0.00012,-3.9208187539523753
-78.098,40.15,2e-05,-4.698970004336019
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
