Longitude,Latitude,D (m),log(d)
-89.743,39.067,0.00064,-3.193820026016113
-89.895,39.073,0.00058,-3.2365720064370627
-90.046,39.079,0.00051,-3.292429823902064
-90.198,39.085,0.00046,-3.337242168318426
-92.836,36.155,0.00031,-3.508638306165728
-93.06,36.159,0.00026,-3.5850266520291822
-93.285,36.163,0.00019,-3.721246399047171
-93.509,36.166,0.00011,-3.958607314841775
-93.733,36.168,6e-05,-4.221848749616356
-93.958,36.17,3e-05,-4.522878745280337
-92.606,36.33,0.00033,-3.4814860601221125
-92.831,36.334,0.00027,-3.5686362358410126
-93.056,36.338,0.00023,-3.638272163982407
-93.281,36.341,0.00016,-3.795880017344075
-93.505,36.344,9e-05,-4.045757490560675
-93.73,36.347,5e-05,-4.301029995663981
-93.955,36.349,3e-05,-4.522878745280337
-92.601,36.508,0.0003,-3.5228787452803374
-92.826,36.512,0.00024,-3.619788758288394
-93.051,36.516,0.00019,-3.721246399047171
-93.277,36.52,0.00013,-3.886056647693163
-93.502,36.523,7e-05,-4.154901959985743
-93.727,36.525,4e-05,-4.3979400086720375
-92.369,36.682,0.00032,-3.494850021680094
-92.595,36.687,0.00027,-3.5686362358410126
-92.821,36.691,0.00022,-3.657577319177794
-93.047,36.695,0.00016,-3.795880017344075
-93.272,36.698,0.0001,-4.0
-93.498,36.701,5e-05,-4.301029995663981
-93.724,36.704,3e-05,-4.522878745280337
-92.363,36.86,0.00029,-3.537602002101044
-92.589,36.865,0.00024,-3.619788758288394
-92.816,36.869,0.00019,-3.721246399047171
-93.042,36.873,0.00013,-3.886056647693163
-93.268,36.877,7e-05,-4.154901959985743
-93.495,36.88,4e-05,-4.3979400086720375
-93.721,36.882,2e-05,-4.698970004336019
-92.356,37.039,0.00026,-3.5850266520291822
-92.583,37.043,0.00022,-3.657577319177794
-92.81,37.048,0.00016,-3.795880017344075
-93.037,37.052,9e-05,-4.045757490560675
-93.264,37.055,5e-05,-4.301029995663981
-93.491,37.058,3e-05,-4.522878745280337
-92.123,37.212,0.00029,-3.537602002101044
-92.35,37.217,0.00024,-3.619788758288394
-92.578,37.222,0.00019,-3.721246399047171
-92.805,37.226,0.00013,-3.886056647693163
-93.033,37.23,7e-05,-4.154901959985743
-93.26,37.234,3e-05,-4.522878745280337
-93.488,37.237,2e-05,-4.698970004336019
-92.116,37.39,0.00027,-3.5686362358410126
-92.344,37.396,0.00022,-3.657577319177794
-92.572,37.4,0.00017,-3.769551078621726
-92.8,37.405,0.0001,-4.0
-93.028,37.409,5e-05,-4.301029995663981
-93.256,37.412,2e-05,-4.698970004336019
-91.88,37.563,0.00029,-3.537602002101044
-92.109,37.569,0.00025,-3.6020599913279625
-92.337,37.574,0.0002,-3.6989700043360183
-92.566,37.579,0.00014,-3.853871964321762
-92.795,37.583,7e-05,-4.154901959985743
-93.023,37.587,3e-05,-4.522878745280337
-93.252,37.59,2e-05,-4.698970004336019
-91.873,37.741,0.00027,-3.5686362358410126
-92.102,37.747,0.00023,-3.638272163982407
-92.331,37.752,0.00017,-3.769551078621726
-92.56,37.757,0.0001,-4.0
-92.789,37.761,5e-05,-4.301029995663981
-93.018,37.765,2e-05,-4.698970004336019
-93.247,37.769,2e-05,-4.698970004336019
-91.636,37.914,0.00031,-3.508638306165728
-91.865,37.92,0.00025,-3.6020599913279625
-92.095,37.925,0.0002,-3.6989700043360183
-92.325,37.931,0.00014,-3.853871964321762
-92.554,37.935,7e-05,-4.154901959985743
-92.784,37.94,3e-05,-4.522878745280337
-93.014,37.944,2e-05,-4.698970004336019
-91.628,38.092,0.00029,-3.537602002101044
-91.858,38.098,0.00023,-3.638272163982407
-92.088,38.104,0.00017,-3.769551078621726
-92.318,38.109,0.0001,-4.0
-92.548,38.114,5e-05,-4.301029995663981
-92.778,38.118,2e-05,-4.698970004336019
-91.389,38.264,0.00033,-3.4814860601221125
-91.619,38.27,0.00026,-3.5850266520291822
-91.85,38.276,0.0002,-3.6989700043360183
-92.081,38.282,0.00012,-3.9208187539523753
-92.312,38.287,6e-05,-4.221848749616356
-92.542,38.292,3e-05,-4.522878745280337
-92.773,38.297,2e-05,-4.698970004336019
-91.149,38.435,0.00038,-3.42021640338319
-91.38,38.442,0.00029,-3.537602002101044
-91.611,38.449,0.00022,-3.657577319177794
-91.842,38.455,0.00014,-3.853871964321762
-92.074,38.461,8e-05,-4.096910013008056
-92.305,38.466,4e-05,-4.3979400086720375
-92.536,38.471,2e-05,-4.698970004336019
-91.14,38.613,0.00033,-3.4814860601221125
-91.371,38.62,0.00024,-3.619788758288394
-91.603,38.627,0.00016,-3.795880017344075
-91.835,38.633,9e-05,-4.045757490560675
-92.067,38.639,5e-05,-4.301029995663981
-92.298,38.644,3e-05,-4.522878745280337
-92.53,38.649,2e-05,-4.698970004336019
-90.898,38.784,0.00037,-3.431798275933005
-91.13,38.792,0.00026,-3.5850266520291822
-91.362,38.799,0.00017,-3.769551078621726
-91.595,38.805,9e-05,-4.045757490560675
-91.827,38.811,5e-05,-4.301029995663981
-92.059,38.817,3e-05,-4.522878745280337
-92.292,38.823,2e-05,-4.698970004336019
-90.655,38.955,0.00036,-3.4436974992327127
-90.888,38.962,0.00026,-3.5850266520291822
-91.121,38.97,0.00017,-3.769551078621726
-91.353,38.977,0.0001,-4.0
-91.586,38.984,5e-05,-4.301029995663981
-91.819,38.99,3e-05,-4.522878745280337
-92.052,38.996,2e-05,-4.698970004336019
-90.178,39.116,0.00043,-3.3665315444204134
-90.411,39.124,0.00033,-3.4814860601221125
-90.644,39.133,0.00023,-3.638272163982407
-90.878,39.141,0.00015,-3.823908740944319
-91.111,39.148,9e-05,-4.045757490560675
-91.345,39.155,5e-05,-4.301029995663981
-91.578,39.162,3e-05,-4.522878745280337
-91.811,39.168,2e-05,-4.698970004336019
-89.932,39.284,0.00034,-3.4685210829577446
-90.166,39.294,0.00026,-3.5850266520291822
-90.4,39.303,0.0002,-3.6989700043360183
-90.634,39.311,0.00013,-3.886056647693163
-90.868,39.319,8e-05,-4.096910013008056
-91.102,39.327,5e-05,-4.301029995663981
-91.336,39.334,3e-05,-4.522878745280337
-90.389,39.481,0.0001,-4.0
-90.623,39.489,7e-05,-4.154901959985743
-90.857,39.497,5e-05,-4.301029995663981
-91.092,39.505,3e-05,-4.522878745280337
-90.612,39.668,4e-05,-4.3979400086720375
-90.847,39.676,3e-05,-4.522878745280337
-94.217,36.191,2e-05,-4.698970004336019
-94.553,36.192,2e-05,-4.698970004336019
-94.89,36.193,2e-05,-4.698970004336019
-94.214,36.459,2e-05,-4.698970004336019
-94.552,36.46,2e-05,-4.698970004336019
-94.89,36.461,2e-05,-4.698970004336019
-93.872,36.724,2e-05,-4.698970004336019
-94.211,36.726,2e-05,-4.698970004336019
-94.55,36.728,1e-05,-5.0
-94.889,36.729,1e-05,-5.0
-93.868,36.991,2e-05,-4.698970004336019
-94.208,36.994,1e-05,-5.0
-94.549,36.996,1e-05,-5.0
-94.889,36.997,1e-05,-5.0
-93.864,37.259,1e-05,-5.0
-94.205,37.262,1e-05,-5.0
-94.547,37.264,1e-05,-5.0
-94.888,37.264,1e-05,-5.0
-93.517,37.523,2e-05,-4.698970004336019
-93.86,37.527,1e-05,-5.0
-90.707,35.911,0.3359,-0.4737899961583357
-89.812,35.911,2.80962,0.4486475857190051
-89.856,35.913,3.5194,0.5464686296997485
-89.901,35.915,4.62207,0.6648365184653595
-89.139,35.916,0.57298,-0.2418605369178243
-89.946,35.917,6.68659,0.8252046944879932
-89.184,35.918,0.65705,-0.1824015803673823
-89.99,35.919,6.02596,0.7800262445233768
-89.229,35.92,0.75306,-0.1231704200399167
-90.035,35.921,6.16308,0.7897978051366557
-89.273,35.922,0.86492,-0.0630240603563301
-90.08,35.922,4.16367,0.6194763013240118
-89.318,35.924,0.99488,-0.0022292996369022
-90.124,35.924,3.22553,0.5086010855337013
-90.169,35.926,2.54128,0.4050525185551176
-89.363,35.926,1.12785,0.0522513438813093
-90.214,35.928,2.0214,0.3056522613647638
-89.407,35.928,1.26419,0.101812350647656
-90.258,35.93,1.62602,0.2111258831007429
-89.452,35.931,1.38675,0.141998174550873
-90.303,35.931,1.31935,0.1203600214030998
-89.496,35.933,1.4809,0.1705257331231823
-90.348,35.933,1.08013,0.0334760285285866
-89.541,35.935,1.5592,0.192901826109565
-90.392,35.935,0.90579,-0.0429724782752653
-90.437,35.937,0.75897,-0.1197753902335719
-89.586,35.937,1.64497,0.2161579819496633
-90.482,35.938,0.64031,-0.1936097155568943
-89.63,35.939,1.76631,0.2470669277094564
-90.526,35.94,0.5429,-0.2652801583443201
-89.675,35.941,1.95002,0.2900390656420541
-90.571,35.942,0.46253,-0.3348600933856652
-89.72,35.943,2.23417,0.3491162158937149
-90.616,35.943,0.399,-0.3990271043132517
-89.764,35.945,2.67481,0.4272929381769955
-90.66,35.945,0.33951,-0.4691474293927302
-89.809,35.947,3.32886,0.5222955306610261
-89.854,35.949,4.33884,0.6373736352874743
-89.092,35.949,0.57455,-0.2406721710153655
