Longitude,Latitude,D (m),log(d)
-115.128,45.367,0.02761,-1.558933593360737
-112.589,45.369,0.12296,-0.9102361455083112
-108.158,45.372,0.00057,-3.2441251443275085
-114.282,45.373,0.03468,-1.4599209111958271
-113.435,45.373,0.04354,-1.3611115752949243
-109.559,45.377,0.0177,-1.7520267336381934
-110.569,45.382,0.1817,-0.7406450726919657
-112.426,45.39,0.15954,-0.7971304122847893
-114.966,45.391,0.0279,-1.5543957967264024
-113.272,45.396,0.04916,-1.3083881257855836
-114.119,45.396,0.03402,-1.4682656907234497
-111.415,45.399,0.32552,-0.4874223231547712
-111.73,45.4,0.37229,-0.4291186291137215
-110.405,45.401,0.14467,-0.8396215185371382
-106.014,45.403,7e-05,-4.154901959985743
-112.262,45.411,0.20414,-0.6900718895650793
-111.616,45.414,0.36093,-0.4425770184864258
-113.871,45.418,0.03278,-1.4843910507655198
-113.109,45.418,0.05713,-1.243135775939451
-111.252,45.419,0.27695,-0.5575986305172976
-110.241,45.42,0.08549,-1.0680846829187538
-109.459,45.42,0.01313,-1.8817352739105209
-112.099,45.432,0.2561,-0.5915904215315703
-105.633,45.433,5e-05,-4.301029995663981
-110.077,45.438,0.05626,-1.249800272170818
-111.088,45.439,0.24445,-0.6118099584001456
-112.946,45.44,0.06618,-1.1792732371761658
-109.206,45.447,0.00635,-2.1972262747080245
-114.924,45.448,0.02446,-1.6115435472997333
-113.62,45.453,0.03287,-1.4832002959183757
-111.935,45.453,0.31646,-0.4996811762536131
-109.913,45.457,0.0358,-1.4461169733561257
-110.924,45.459,0.21799,-0.6615634286175553
-112.783,45.462,0.08111,-1.0909255985990958
-105.252,45.463,4e-05,-4.3979400086720375
-108.345,45.463,0.00071,-3.1487416512809245
-108.953,45.474,0.00293,-2.5331323796458904
-110.76,45.478,0.18708,-0.7279726387635335
-111.75,45.479,0.35664,-0.4477699488638375
-112.619,45.484,0.10811,-0.9661341326521
-114.674,45.485,0.0245,-1.6108339156354674
-113.467,45.488,0.03443,-1.4630629772953263
-104.871,45.491,3e-05,-4.522878745280337
-111.636,45.493,0.34812,-0.4582710251497111
-111.608,45.494,0.38061,-0.4195198054137747
-110.596,45.497,0.16482,-0.7829900901957945
-108.7,45.5,0.00148,-2.8297382846050425
-107.965,45.501,0.00033,-3.4814860601221125
-112.456,45.505,0.14709,-0.8324168520341593
-113.304,45.511,0.0395,-1.40340290437354
-111.444,45.515,0.29139,-0.5355253565445439
-110.432,45.516,0.10629,-0.9735075929471604
-104.489,45.519,2e-05,-4.698970004336019
-114.423,45.522,0.02379,-1.6236055579627338
