Longitude,Latitude,D (m),log(d)
-103.49,40.729,1e-05,-5.0
-103.133,40.752,1e-05,-5.0
-104.595,40.919,7e-05,-4.154901959985743
-99.195,40.943,2e-05,-4.698970004336019
-104.237,40.946,4e-05,-4.3979400086720375
-98.836,40.955,2e-05,-4.698970004336019
-98.477,40.965,2e-05,-4.698970004336019
-103.88,40.971,2e-05,-4.698970004336019
-98.118,40.974,2e-05,-4.698970004336019
-97.758,40.983,2e-05,-4.698970004336019
-97.399,40.99,2e-05,-4.698970004336019
-103.522,40.996,1e-05,-5.0
-97.04,40.996,2e-05,-4.698970004336019
-103.164,41.019,1e-05,-5.0
-104.631,41.186,7e-05,-4.154901959985743
-99.571,41.199,2e-05,-4.698970004336019
-99.211,41.211,2e-05,-4.698970004336019
-104.272,41.213,4e-05,-4.3979400086720375
-98.85,41.223,2e-05,-4.698970004336019
-98.49,41.233,3e-05,-4.522878745280337
-103.913,41.238,2e-05,-4.698970004336019
-98.129,41.242,3e-05,-4.522878745280337
-97.769,41.251,3e-05,-4.522878745280337
-97.408,41.258,3e-05,-4.522878745280337
-103.554,41.263,2e-05,-4.698970004336019
-97.047,41.264,2e-05,-4.698970004336019
-96.687,41.269,2e-05,-4.698970004336019
-103.195,41.286,1e-05,-5.0
-102.835,41.309,1e-05,-5.0
-102.475,41.33,1e-05,-5.0
-99.95,41.453,2e-05,-4.698970004336019
-99.588,41.466,2e-05,-4.698970004336019
-99.227,41.479,2e-05,-4.698970004336019
-104.308,41.479,5e-05,-4.301029995663981
-98.865,41.49,3e-05,-4.522878745280337
-98.503,41.501,3e-05,-4.522878745280337
-103.947,41.505,3e-05,-4.522878745280337
-98.141,41.51,4e-05,-4.3979400086720375
-97.779,41.518,4e-05,-4.3979400086720375
-97.417,41.526,4e-05,-4.3979400086720375
-103.587,41.53,2e-05,-4.698970004336019
-97.055,41.532,3e-05,-4.522878745280337
-96.693,41.537,2e-05,-4.698970004336019
-103.226,41.553,2e-05,-4.698970004336019
-102.865,41.576,2e-05,-4.698970004336019
-102.503,41.598,2e-05,-4.698970004336019
-102.142,41.618,2e-05,-4.698970004336019
-101.78,41.638,2e-05,-4.698970004336019
-101.418,41.657,2e-05,-4.698970004336019
-101.056,41.674,2e-05,-4.698970004336019
-100.694,41.691,2e-05,-4.698970004336019
-100.331,41.706,2e-05,-4.698970004336019
-99.968,41.721,2e-05,-4.698970004336019
-99.606,41.734,2e-05,-4.698970004336019
-104.343,41.746,7e-05,-4.154901959985743
-99.243,41.747,2e-05,-4.698970004336019
-98.88,41.758,3e-05,-4.522878745280337
-98.517,41.769,4e-05,-4.3979400086720375
-103.981,41.772,5e-05,-4.301029995663981
-98.153,41.778,5e-05,-4.301029995663981
-97.79,41.786,5e-05,-4.301029995663981
-97.427,41.794,5e-05,-4.301029995663981
-103.619,41.797,4e-05,-4.3979400086720375
-97.063,41.8,4e-05,-4.3979400086720375
-96.699,41.805,2e-05,-4.698970004336019
-103.257,41.82,3e-05,-4.522878745280337
-102.895,41.843,3e-05,-4.522878745280337
-102.532,41.865,3e-05,-4.522878745280337
-102.169,41.886,3e-05,-4.522878745280337
-101.806,41.905,3e-05,-4.522878745280337
-101.443,41.924,3e-05,-4.522878745280337
-101.079,41.942,3e-05,-4.522878745280337
-100.715,41.958,2e-05,-4.698970004336019
-100.352,41.974,2e-05,-4.698970004336019
-99.988,41.989,2e-05,-4.698970004336019
-99.623,42.002,3e-05,-4.522878745280337
-99.259,42.015,3e-05,-4.522878745280337
-98.895,42.026,4e-05,-4.3979400086720375
-98.53,42.037,5e-05,-4.301029995663981
-104.016,42.039,7e-05,-4.154901959985743
-98.165,42.046,5e-05,-4.301029995663981
-97.801,42.054,5e-05,-4.301029995663981
-97.436,42.062,5e-05,-4.301029995663981
-103.652,42.064,6e-05,-4.221848749616356
-97.071,42.068,4e-05,-4.3979400086720375
-96.706,42.074,2e-05,-4.698970004336019
-103.289,42.088,5e-05,-4.301029995663981
-102.925,42.11,5e-05,-4.301029995663981
-102.561,42.132,5e-05,-4.301029995663981
-102.197,42.153,6e-05,-4.221848749616356
-101.832,42.173,6e-05,-4.221848749616356
-101.467,42.192,5e-05,-4.301029995663981
-101.103,42.209,4e-05,-4.3979400086720375
-100.737,42.226,3e-05,-4.522878745280337
-100.372,42.242,3e-05,-4.522878745280337
-100.007,42.256,3e-05,-4.522878745280337
-99.641,42.27,3e-05,-4.522878745280337
-99.275,42.283,4e-05,-4.3979400086720375
-98.91,42.294,5e-05,-4.301029995663981
-98.544,42.305,5e-05,-4.301029995663981
-98.178,42.314,6e-05,-4.221848749616356
-97.811,42.323,5e-05,-4.301029995663981
-97.445,42.33,5e-05,-4.301029995663981
-97.079,42.336,4e-05,-4.3979400086720375
-96.713,42.342,2e-05,-4.698970004336019
-102.956,42.378,8e-05,-4.096910013008056
-101.126,42.477,6e-05,-4.221848749616356
-100.76,42.494,5e-05,-4.301029995663981
-100.393,42.51,4e-05,-4.3979400086720375
-100.026,42.524,4e-05,-4.3979400086720375
-99.659,42.538,5e-05,-4.301029995663981
-99.292,42.551,6e-05,-4.221848749616356
-98.925,42.562,7e-05,-4.154901959985743
-98.557,42.573,7e-05,-4.154901959985743
-98.19,42.582,6e-05,-4.221848749616356
-97.822,42.591,5e-05,-4.301029995663981
-97.455,42.598,4e-05,-4.3979400086720375
-97.087,42.605,3e-05,-4.522878745280337
-96.719,42.61,2e-05,-4.698970004336019
-100.782,42.762,6e-05,-4.221848749616356
-100.414,42.778,5e-05,-4.301029995663981
-100.046,42.792,5e-05,-4.301029995663981
-99.677,42.806,6e-05,-4.221848749616356
-98.202,42.851,7e-05,-4.154901959985743
-97.833,42.859,6e-05,-4.221848749616356
-97.464,42.867,4e-05,-4.3979400086720375
-97.095,42.873,3e-05,-4.522878745280337
-104.569,41.891,0.00011,-3.958607314841775
-104.593,42.069,0.00015,-3.823908740944319
-104.351,42.086,0.00011,-3.958607314841775
-104.109,42.104,9e-05,-4.045757490560675
-104.618,42.246,0.00019,-3.721246399047171
-104.375,42.264,0.00014,-3.853871964321762
-104.132,42.282,0.00012,-3.9208187539523753
-103.889,42.299,0.0001,-4.0
-103.646,42.315,9e-05,-4.045757490560675
-103.403,42.331,8e-05,-4.096910013008056
-102.428,42.391,8e-05,-4.096910013008056
-102.185,42.404,9e-05,-4.045757490560675
-101.941,42.418,9e-05,-4.045757490560675
-104.642,42.424,0.00024,-3.619788758288394
-101.697,42.431,9e-05,-4.045757490560675
-104.399,42.442,0.00018,-3.744727494896694
-101.453,42.443,8e-05,-4.096910013008056
-104.155,42.46,0.00015,-3.823908740944319
-96.726,42.878,2e-05,-4.698970004336019
-100.804,43.03,7e-05,-4.154901959985743
-100.435,43.046,5e-05,-4.301029995663981
-100.065,43.061,5e-05,-4.301029995663981
-99.695,43.074,7e-05,-4.154901959985743
-97.844,43.128,6e-05,-4.221848749616356
-97.474,43.135,4e-05,-4.3979400086720375
-97.103,43.142,3e-05,-4.522878745280337
-96.733,43.147,2e-05,-4.698970004336019
-100.827,43.298,7e-05,-4.154901959985743
-100.456,43.314,5e-05,-4.301029995663981
-100.085,43.329,6e-05,-4.221848749616356
-99.714,43.343,7e-05,-4.154901959985743
-98.653,39.55,1e-05,-5.0
-98.067,39.566,1e-05,-5.0
-97.479,39.579,1e-05,-5.0
-96.892,39.589,1e-05,-5.0
-102.212,39.843,2e-05,-4.698970004336019
-101.623,39.875,1e-05,-5.0
-101.035,39.905,1e-05,-5.0
-99.266,39.978,2e-05,-4.698970004336019
-98.676,39.996,1e-05,-5.0
-98.086,40.012,1e-05,-5.0
-97.495,40.025,1e-05,-5.0
-96.904,40.035,1e-05,-5.0
-96.313,40.043,1e-05,-5.0
-95.13,40.05,1e-05,-5.0
-102.257,40.288,1e-05,-5.0
-101.665,40.321,1e-05,-5.0
-101.073,40.35,1e-05,-5.0
-99.293,40.423,1e-05,-5.0
-98.699,40.442,1e-05,-5.0
-98.105,40.458,1e-05,-5.0
-97.51,40.471,1e-05,-5.0
-96.916,40.482,1e-05,-5.0
-96.321,40.489,1e-05,-5.0
-95.726,40.494,1e-05,-5.0
-95.131,40.496,1e-05,-5.0
-102.897,40.697,1e-05,-5.0
-102.302,40.733,1e-05,-5.0
-101.707,40.766,1e-05,-5.0
-101.111,40.796,1e-05,-5.0
-100.514,40.823,1e-05,-5.0
-99.917,40.848,1e-05,-5.0
-99.32,40.869,2e-05,-4.698970004336019
-96.928,40.928,1e-05,-5.0
-96.329,40.936,1e-05,-5.0
-95.731,40.941,1e-05,-5.0
-102.348,41.178,1e-05,-5.0
-101.749,41.211,1e-05,-5.0
-101.149,41.242,1e-05,-5.0
-100.549,41.269,1e-05,-5.0
-99.948,41.294,1e-05,-5.0
-96.338,41.382,1e-05,-5.0
-95.735,41.387,1e-05,-5.0
-96.346,41.829,2e-05,-4.698970004336019
-95.74,41.834,1e-05,-5.0
-96.355,42.276,2e-05,-4.698970004336019
-95.745,42.281,1e-05,-5.0
-96.364,42.723,1e-05,-5.0
-103.912,42.477,0.00013,-3.886056647693163
-103.668,42.493,0.00012,-3.9208187539523753
-103.424,42.509,0.00011,-3.958607314841775
-103.18,42.525,0.0001,-4.0
-102.936,42.54,0.0001,-4.0
-102.692,42.555,0.0001,-4.0
-102.448,42.569,0.00011,-3.958607314841775
-102.203,42.583,0.00012,-3.9208187539523753
-101.959,42.596,0.00012,-3.9208187539523753
-101.714,42.609,0.00012,-3.9208187539523753
-104.423,42.62,0.00022,-3.657577319177794
-101.469,42.621,0.00011,-3.958607314841775
-101.225,42.633,9e-05,-4.045757490560675
-104.179,42.638,0.00019,-3.721246399047171
-103.935,42.655,0.00017,-3.769551078621726
-103.69,42.671,0.00015,-3.823908740944319
-103.446,42.688,0.00014,-3.853871964321762
-103.201,42.703,0.00013,-3.886056647693163
-102.957,42.718,0.00012,-3.9208187539523753
-99.018,42.72,8e-05,-4.096910013008056
-98.773,42.727,8e-05,-4.096910013008056
-102.712,42.733,0.00013,-3.886056647693163
-98.528,42.734,8e-05,-4.096910013008056
-102.467,42.747,0.00013,-3.886056647693163
-102.222,42.761,0.00014,-3.853871964321762
-101.977,42.775,0.00015,-3.823908740944319
-101.731,42.787,0.00014,-3.853871964321762
-104.447,42.798,0.00024,-3.619788758288394
-101.486,42.8,0.00013,-3.886056647693163
-101.241,42.812,0.0001,-4.0
-104.203,42.816,0.00022,-3.657577319177794
-100.995,42.823,8e-05,-4.096910013008056
-103.958,42.833,0.00019,-3.721246399047171
-103.713,42.85,0.00018,-3.744727494896694
-103.468,42.866,0.00016,-3.795880017344075
-103.222,42.882,0.00015,-3.823908740944319
-99.275,42.891,8e-05,-4.096910013008056
-102.977,42.897,0.00014,-3.853871964321762
-99.029,42.899,0.0001,-4.0
-98.783,42.906,0.0001,-4.0
-102.732,42.912,0.00014,-3.853871964321762
-98.537,42.913,9e-05,-4.045757490560675
-98.29,42.92,8e-05,-4.096910013008056
-102.486,42.926,0.00015,-3.823908740944319
-102.24,42.94,0.00015,-3.823908740944319
-101.995,42.953,0.00016,-3.795880017344075
-101.749,42.966,0.00015,-3.823908740944319
-104.472,42.977,0.00024,-3.619788758288394
-101.503,42.979,0.00014,-3.853871964321762
-101.257,42.991,0.00011,-3.958607314841775
-104.227,42.994,0.00022,-3.657577319177794
-101.011,43.002,8e-05,-4.096910013008056
-103.981,43.011,0.00021,-3.677780705266081
-103.735,43.028,0.00019,-3.721246399047171
-103.49,43.044,0.00018,-3.744727494896694
-103.244,43.06,0.00017,-3.769551078621726
-99.533,43.062,8e-05,-4.096910013008056
-99.286,43.07,0.0001,-4.0
-102.998,43.075,0.00015,-3.823908740944319
-99.039,43.078,0.00011,-3.958607314841775
-98.793,43.085,0.00011,-3.958607314841775
-102.752,43.09,0.00015,-3.823908740944319
-98.546,43.092,0.0001,-4.0
-98.299,43.099,9e-05,-4.045757490560675
-102.506,43.104,0.00015,-3.823908740944319
-102.259,43.118,0.00015,-3.823908740944319
-102.013,43.132,0.00015,-3.823908740944319
-101.766,43.145,0.00015,-3.823908740944319
-104.497,43.155,0.00022,-3.657577319177794
-101.52,43.157,0.00013,-3.886056647693163
-101.273,43.169,0.00011,-3.958607314841775
-104.251,43.172,0.0002,-3.6989700043360183
-101.026,43.181,8e-05,-4.096910013008056
-104.004,43.19,0.0002,-3.6989700043360183
-103.758,43.206,0.00019,-3.721246399047171
-103.512,43.223,0.00018,-3.744727494896694
-103.265,43.238,0.00017,-3.769551078621726
-99.544,43.241,8e-05,-4.096910013008056
-99.297,43.249,0.0001,-4.0
-103.019,43.254,0.00015,-3.823908740944319
-99.05,43.257,0.00011,-3.958607314841775
-98.802,43.264,0.00012,-3.9208187539523753
-102.772,43.268,0.00014,-3.853871964321762
-98.555,43.271,0.00011,-3.958607314841775
-98.308,43.278,9e-05,-4.045757490560675
-102.525,43.283,0.00013,-3.886056647693163
-102.278,43.297,0.00013,-3.886056647693163
-102.031,43.31,0.00013,-3.886056647693163
-101.784,43.323,0.00013,-3.886056647693163
-101.537,43.336,0.00011,-3.958607314841775
-101.29,43.348,9e-05,-4.045757490560675
-104.275,43.351,0.00017,-3.769551078621726
-104.028,43.368,0.00017,-3.769551078621726
-103.781,43.385,0.00017,-3.769551078621726
-103.534,43.401,0.00017,-3.769551078621726
