Longitude,Latitude,D (m),log(d)
-74.16,43.703,0.00113,-2.9469215565165805
-74.985,43.713,0.00052,-3.283996656365201
-73.492,43.713,0.00052,-3.283996656365201
-75.767,43.717,0.00014,-3.853871964321762
-74.318,43.728,0.0013,-2.886056647693163
-73.65,43.739,0.00066,-3.1804560644581312
-76.012,43.752,0.0001,-4.0
-74.476,43.753,0.0013,-2.886056647693163
-73.808,43.765,0.00085,-3.070581074285707
-74.634,43.778,0.00112,-2.9507819773298185
-73.966,43.791,0.0011,-2.958607314841775
-74.793,43.803,0.00086,-3.065501548756432
-74.124,43.816,0.00138,-2.8601209135987635
-72.927,43.817,0.00033,-3.4814860601221125
-75.228,43.819,0.00038,-3.42021640338319
-73.456,43.827,0.00059,-3.229147988357856
-74.952,43.827,0.00065,-3.1870866433571443
-74.283,43.842,0.00159,-2.7986028756795487
-75.11,43.851,0.0005,-3.3010299956639813
-73.614,43.853,0.00076,-3.1191864077192086
-75.473,43.856,0.00025,-3.6020599913279625
-73.17,43.858,0.00044,-3.356547323513813
-74.441,43.867,0.00158,-2.8013429130455774
-73.772,43.879,0.00097,-3.0132282657337552
-74.6,43.892,0.00138,-2.8601209135987635
-75.717,43.892,0.00017,-3.769551078621726
-73.93,43.905,0.00122,-2.913640169325252
-73.261,43.914,0.00052,-3.283996656365201
-74.759,43.917,0.00106,-2.9746941347352296
-75.962,43.928,0.00012,-3.9208187539523753
-74.089,43.93,0.0015,-2.8239087409443187
-73.419,43.941,0.00066,-3.1804560644581312
-74.917,43.941,0.00079,-3.1023729087095586
-74.248,43.956,0.00169,-2.7721132953863266
-75.076,43.965,0.00059,-3.229147988357856
-73.577,43.967,0.00084,-3.0757207139381184
-74.406,43.981,0.0017,-2.769551078621726
-72.869,43.991,0.00036,-3.4436974992327127
-73.736,43.993,0.00106,-2.9746941347352296
-74.565,44.006,0.00147,-2.832682665251824
-73.895,44.018,0.0013,-2.886056647693163
-73.224,44.028,0.00057,-3.2441251443275085
-74.724,44.03,0.00118,-2.9281179926938745
-75.422,44.031,0.00033,-3.4814860601221125
-74.053,44.044,0.00152,-2.818156412055228
-73.382,44.054,0.00073,-3.136677139879544
-74.883,44.055,0.00092,-3.036212172654445
-75.667,44.068,0.00022,-3.657577319177794
-74.212,44.069,0.00166,-2.779891911959945
-75.043,44.079,0.0007,-3.154901959985743
-73.541,44.08,0.00092,-3.036212172654445
-74.371,44.095,0.00167,-2.7772835288524167
-75.202,44.104,0.00053,-3.275724130399211
-75.912,44.104,0.00015,-3.823908740944319
-73.7,44.106,0.00114,-2.9430951486635277
-74.53,44.12,0.00149,-2.826813731587726
-73.859,44.132,0.00135,-2.869666231504994
-76.158,44.139,0.00011,-3.958607314841775
-73.187,44.141,0.00061,-3.214670164989233
-74.69,44.144,0.00126,-2.899629454882437
-74.018,44.158,0.00153,-2.815308569182401
-72.812,44.166,0.00039,-3.408935392973501
-73.346,44.168,0.00079,-3.1023729087095586
-74.849,44.169,0.00104,-2.98296666070122
-74.177,44.183,0.00166,-2.779891911959945
-75.009,44.194,0.00081,-3.0915149811213505
-73.505,44.194,0.00099,-3.00436480540245
-75.37,44.207,0.00043,-3.3665315444204134
-74.336,44.208,0.00165,-2.7825160557860937
-75.168,44.218,0.00063,-3.2006594505464183
-73.664,44.22,0.00121,-2.91721462968355
-72.991,44.228,0.00051,-3.292429823902064
-74.496,44.234,0.00153,-2.815308569182401
