Longitude,Latitude,D (m),log(d)
-82.394,38.026,9e-05,-4.045757490560675
-82.622,38.049,9e-05,-4.045757490560675
-82.85,38.072,0.0001,-4.0
-81.907,38.155,9e-05,-4.045757490560675
-82.135,38.179,8e-05,-4.096910013008056
-82.364,38.203,8e-05,-4.096910013008056
-82.592,38.226,8e-05,-4.096910013008056
-82.821,38.249,9e-05,-4.045757490560675
-83.05,38.272,9e-05,-4.045757490560675
-83.279,38.294,0.0001,-4.0
-83.508,38.316,0.00011,-3.958607314841775
-83.737,38.337,0.00011,-3.958607314841775
-83.967,38.358,0.0001,-4.0
-84.196,38.379,9e-05,-4.045757490560675
-84.426,38.399,7e-05,-4.154901959985743
-81.662,38.417,7e-05,-4.154901959985743
-82.791,38.426,8e-05,-4.096910013008056
-83.021,38.449,9e-05,-4.045757490560675
-82.006,38.454,7e-05,-4.154901959985743
-83.25,38.471,9e-05,-4.045757490560675
-82.35,38.49,7e-05,-4.154901959985743
-83.48,38.493,0.0001,-4.0
-83.71,38.514,0.0001,-4.0
-82.694,38.525,7e-05,-4.154901959985743
-83.94,38.535,9e-05,-4.045757490560675
-84.17,38.556,8e-05,-4.096910013008056
-84.4,38.576,7e-05,-4.154901959985743
-82.992,38.626,8e-05,-4.096910013008056
-83.222,38.648,8e-05,-4.096910013008056
-83.452,38.67,8e-05,-4.096910013008056
-81.614,38.682,6e-05,-4.221848749616356
-84.42,38.686,7e-05,-4.154901959985743
-83.682,38.692,8e-05,-4.096910013008056
-83.913,38.713,8e-05,-4.096910013008056
-84.767,38.715,6e-05,-4.221848749616356
-81.959,38.719,6e-05,-4.221848749616356
-84.144,38.733,7e-05,-4.154901959985743
-82.304,38.755,6e-05,-4.221848749616356
-82.649,38.79,6e-05,-4.221848749616356
-85.067,38.811,7e-05,-4.154901959985743
-82.995,38.825,6e-05,-4.221848749616356
-83.341,38.858,7e-05,-4.154901959985743
-83.688,38.89,7e-05,-4.154901959985743
-81.219,38.909,5e-05,-4.301029995663981
-84.035,38.921,6e-05,-4.221848749616356
-81.565,38.947,5e-05,-4.301029995663981
-84.382,38.952,6e-05,-4.221848749616356
-84.729,38.981,6e-05,-4.221848749616356
-81.911,38.984,5e-05,-4.301029995663981
-85.043,38.988,7e-05,-4.154901959985743
-85.275,39.007,8e-05,-4.096910013008056
-82.257,39.021,5e-05,-4.301029995663981
-82.604,39.056,5e-05,-4.301029995663981
-82.951,39.09,5e-05,-4.301029995663981
-83.298,39.124,5e-05,-4.301029995663981
-80.822,39.134,3e-05,-4.522878745280337
-83.646,39.156,5e-05,-4.301029995663981
-81.168,39.174,3e-05,-4.522878745280337
-85.251,39.184,8e-05,-4.096910013008056
-83.994,39.187,5e-05,-4.301029995663981
-81.515,39.212,4e-05,-4.3979400086720375
-84.343,39.218,6e-05,-4.221848749616356
-84.691,39.247,6e-05,-4.221848749616356
-81.863,39.249,4e-05,-4.3979400086720375
-85.04,39.276,7e-05,-4.154901959985743
-82.21,39.286,4e-05,-4.3979400086720375
-82.558,39.321,4e-05,-4.3979400086720375
-82.907,39.356,4e-05,-4.3979400086720375
-80.422,39.359,2e-05,-4.698970004336019
-85.227,39.362,8e-05,-4.096910013008056
-83.255,39.389,4e-05,-4.3979400086720375
-80.77,39.399,2e-05,-4.698970004336019
-83.604,39.422,5e-05,-4.301029995663981
-81.117,39.439,3e-05,-4.522878745280337
-83.954,39.453,5e-05,-4.301029995663981
-81.466,39.477,3e-05,-4.522878745280337
-84.303,39.484,6e-05,-4.221848749616356
-84.653,39.513,6e-05,-4.221848749616356
-81.814,39.515,3e-05,-4.522878745280337
-85.203,39.539,8e-05,-4.096910013008056
-85.003,39.542,7e-05,-4.154901959985743
-82.163,39.551,3e-05,-4.522878745280337
-82.512,39.587,3e-05,-4.522878745280337
-82.862,39.621,4e-05,-4.3979400086720375
-80.368,39.623,2e-05,-4.698970004336019
-83.212,39.655,4e-05,-4.3979400086720375
-80.717,39.664,2e-05,-4.698970004336019
-83.562,39.687,5e-05,-4.301029995663981
-81.066,39.703,2e-05,-4.698970004336019
-83.913,39.719,6e-05,-4.221848749616356
-81.415,39.742,2e-05,-4.698970004336019
-84.264,39.75,7e-05,-4.154901959985743
