Longitude,Latitude,D (m),log(d)
-103.082,43.789,9e-05,-4.045757490560675
-99.082,43.794,0.00011,-3.958607314841775
-98.832,43.801,0.00011,-3.958607314841775
-98.583,43.808,0.00011,-3.958607314841775
-98.334,43.815,0.0001,-4.0
-98.084,43.821,8e-05,-4.096910013008056
-104.596,43.868,0.00011,-3.958607314841775
-104.348,43.886,0.0001,-4.0
-104.099,43.903,9e-05,-4.045757490560675
-103.85,43.92,9e-05,-4.045757490560675
-103.601,43.936,8e-05,-4.096910013008056
-103.352,43.952,8e-05,-4.096910013008056
-99.342,43.965,9e-05,-4.045757490560675
-99.092,43.973,0.0001,-4.0
-98.843,43.98,0.00011,-3.958607314841775
-98.593,43.987,0.00011,-3.958607314841775
-98.342,43.994,0.0001,-4.0
-98.092,44.0,8e-05,-4.096910013008056
-104.621,44.046,0.0001,-4.0
-99.354,44.144,8e-05,-4.096910013008056
-99.103,44.152,9e-05,-4.045757490560675
-98.853,44.16,0.0001,-4.0
-98.602,44.167,0.0001,-4.0
-98.351,44.173,9e-05,-4.045757490560675
-98.101,44.179,7e-05,-4.154901959985743
-104.647,44.225,8e-05,-4.096910013008056
-99.114,44.331,8e-05,-4.096910013008056
-98.863,44.339,8e-05,-4.096910013008056
-98.612,44.346,8e-05,-4.096910013008056
-98.36,44.353,8e-05,-4.096910013008056
-96.706,42.074,2e-05,-4.698970004336019
-97.079,42.336,4e-05,-4.3979400086720375
-96.713,42.342,2e-05,-4.698970004336019
-99.292,42.551,6e-05,-4.221848749616356
-98.925,42.562,7e-05,-4.154901959985743
-98.557,42.573,7e-05,-4.154901959985743
-98.19,42.582,6e-05,-4.221848749616356
-97.822,42.591,5e-05,-4.301029995663981
-97.455,42.598,4e-05,-4.3979400086720375
-97.087,42.605,3e-05,-4.522878745280337
-96.719,42.61,2e-05,-4.698970004336019
-100.782,42.762,6e-05,-4.221848749616356
-100.414,42.778,5e-05,-4.301029995663981
-100.046,42.792,5e-05,-4.301029995663981
-99.677,42.806,6e-05,-4.221848749616356
-98.202,42.851,7e-05,-4.154901959985743
-97.833,42.859,6e-05,-4.221848749616356
-97.464,42.867,4e-05,-4.3979400086720375
-97.095,42.873,3e-05,-4.522878745280337
-96.726,42.878,2e-05,-4.698970004336019
-100.804,43.03,7e-05,-4.154901959985743
-100.435,43.046,5e-05,-4.301029995663981
-100.065,43.061,5e-05,-4.301029995663981
-99.695,43.074,7e-05,-4.154901959985743
-97.844,43.128,6e-05,-4.221848749616356
-97.474,43.135,4e-05,-4.3979400086720375
-97.103,43.142,3e-05,-4.522878745280337
-96.733,43.147,2e-05,-4.698970004336019
-100.827,43.298,7e-05,-4.154901959985743
-100.456,43.314,5e-05,-4.301029995663981
-100.085,43.329,6e-05,-4.221848749616356
-99.714,43.343,7e-05,-4.154901959985743
-97.856,43.396,6e-05,-4.221848749616356
-97.484,43.404,4e-05,-4.3979400086720375
-97.112,43.41,3e-05,-4.522878745280337
-96.739,43.416,2e-05,-4.698970004336019
-101.222,43.549,7e-05,-4.154901959985743
-100.85,43.566,6e-05,-4.221848749616356
-100.478,43.582,5e-05,-4.301029995663981
-100.105,43.597,6e-05,-4.221848749616356
-99.732,43.611,7e-05,-4.154901959985743
-97.867,43.665,6e-05,-4.221848749616356
-97.493,43.672,4e-05,-4.3979400086720375
-97.12,43.679,3e-05,-4.522878745280337
-96.746,43.684,2e-05,-4.698970004336019
-102.366,43.76,7e-05,-4.154901959985743
-101.993,43.78,6e-05,-4.221848749616356
-101.62,43.799,6e-05,-4.221848749616356
-101.247,43.817,5e-05,-4.301029995663981
-100.873,43.835,5e-05,-4.301029995663981
-100.499,43.851,5e-05,-4.301029995663981
-100.125,43.866,5e-05,-4.301029995663981
-99.751,43.88,7e-05,-4.154901959985743
-97.878,43.934,7e-05,-4.154901959985743
-97.503,43.941,4e-05,-4.3979400086720375
-97.128,43.948,3e-05,-4.522878745280337
-96.753,43.953,2e-05,-4.698970004336019
-103.144,43.984,7e-05,-4.154901959985743
-102.77,44.006,5e-05,-4.301029995663981
