Longitude,Latitude,D (m),log(d)
-81.228,36.817,0.00032,-3.494850021680094
-81.452,36.843,0.00034,-3.4685210829577446
-81.676,36.868,0.00036,-3.4436974992327127
-81.9,36.893,0.00036,-3.4436974992327127
-82.125,36.917,0.00035,-3.4559319556497243
-80.746,36.941,0.00027,-3.5686362358410126
-80.971,36.968,0.0003,-3.5228787452803374
-81.195,36.994,0.00032,-3.494850021680094
-81.42,37.02,0.00033,-3.4814860601221125
-81.644,37.045,0.00033,-3.4814860601221125
-80.263,37.064,0.00019,-3.721246399047171
-81.869,37.07,0.00032,-3.494850021680094
-80.488,37.091,0.00024,-3.619788758288394
-82.094,37.094,0.0003,-3.5228787452803374
-82.319,37.118,0.00029,-3.537602002101044
-80.712,37.118,0.00028,-3.552841968657781
-80.937,37.144,0.0003,-3.5228787452803374
-81.162,37.171,0.00031,-3.508638306165728
-81.387,37.196,0.00031,-3.508638306165728
-80.004,37.212,0.00015,-3.823908740944319
-81.612,37.222,0.00029,-3.537602002101044
-80.228,37.24,0.00019,-3.721246399047171
-81.838,37.246,0.00028,-3.552841968657781
-80.453,37.267,0.00024,-3.619788758288394
-82.063,37.271,0.00025,-3.6020599913279625
-80.678,37.294,0.00027,-3.5686362358410126
-82.289,37.295,0.00023,-3.638272163982407
-82.515,37.318,0.00022,-3.657577319177794
-80.904,37.321,0.00029,-3.537602002101044
-81.129,37.347,0.00029,-3.537602002101044
-81.355,37.373,0.00027,-3.5686362358410126
-79.968,37.388,0.00014,-3.853871964321762
-81.58,37.398,0.00025,-3.6020599913279625
-80.193,37.416,0.00018,-3.744727494896694
-81.806,37.423,0.00023,-3.638272163982407
-80.418,37.444,0.00022,-3.657577319177794
-82.032,37.448,0.0002,-3.6989700043360183
-80.644,37.471,0.00024,-3.619788758288394
-82.258,37.472,0.00018,-3.744727494896694
-82.485,37.495,0.00017,-3.769551078621726
-80.87,37.497,0.00026,-3.5850266520291822
-82.711,37.519,0.00016,-3.795880017344075
-81.096,37.524,0.00025,-3.6020599913279625
-79.706,37.536,0.0001,-4.0
-81.322,37.55,0.00023,-3.638272163982407
-79.932,37.565,0.00012,-3.9208187539523753
-81.548,37.575,0.00021,-3.677780705266081
-80.158,37.593,0.00015,-3.823908740944319
-81.775,37.6,0.00018,-3.744727494896694
-80.384,37.62,0.00018,-3.744727494896694
-82.001,37.624,0.00016,-3.795880017344075
-80.61,37.647,0.00021,-3.677780705266081
-82.228,37.649,0.00015,-3.823908740944319
-82.455,37.672,0.00013,-3.886056647693163
-80.836,37.674,0.00022,-3.657577319177794
-82.682,37.696,0.00013,-3.886056647693163
-81.062,37.7,0.00021,-3.677780705266081
-79.669,37.712,9e-05,-4.045757490560675
-82.909,37.718,0.00013,-3.886056647693163
-81.289,37.726,0.00019,-3.721246399047171
-79.896,37.741,0.0001,-4.0
-81.516,37.752,0.00017,-3.769551078621726
-80.122,37.769,0.00012,-3.9208187539523753
-81.743,37.777,0.00015,-3.823908740944319
-80.348,37.796,0.00015,-3.823908740944319
-81.97,37.801,0.00013,-3.886056647693163
-80.575,37.824,0.00016,-3.795880017344075
-82.197,37.825,0.00012,-3.9208187539523753
-82.424,37.849,0.00011,-3.958607314841775
-80.802,37.85,0.00017,-3.769551078621726
-82.652,37.872,0.00011,-3.958607314841775
-81.029,37.877,0.00017,-3.769551078621726
-82.88,37.895,0.00011,-3.958607314841775
-81.256,37.903,0.00016,-3.795880017344075
