Longitude,Latitude,D (m),log(d)
-88.787,33.504,0.00045,-3.3467874862246565
-88.571,33.492,0.00047,-3.3279021420642825
-88.355,33.48,0.00052,-3.283996656365201
-88.139,33.467,0.00065,-3.1870866433571443
-87.923,33.454,0.00087,-3.0604807473813813
-86.413,33.351,0.00109,-2.962573502059376
-86.197,33.335,0.00091,-3.0409586076789066
-85.982,33.318,0.00073,-3.136677139879544
-85.767,33.301,0.00055,-3.2596373105057563
-85.337,33.265,0.00031,-3.508638306165728
-87.718,33.491,0.00119,-2.9244530386074694
-87.578,33.482,0.00132,-2.87942606879415
-87.437,33.473,0.00142,-2.847711655616944
-87.297,33.463,0.00153,-2.815308569182401
-87.157,33.454,0.00154,-2.812479279163537
-87.016,33.444,0.00154,-2.812479279163537
-86.876,33.434,0.00149,-2.826813731587726
-86.736,33.424,0.0014,-2.853871964321762
-86.596,33.414,0.00141,-2.85078088734462
-84.819,33.329,0.00023,-3.638272163982407
-87.567,33.598,0.00126,-2.899629454882437
-87.426,33.589,0.00142,-2.847711655616944
-87.286,33.579,0.00151,-2.8210230527068307
-87.145,33.57,0.00148,-2.8297382846050425
-86.864,33.55,0.00142,-2.847711655616944
-86.724,33.54,0.00136,-2.8664610916297826
-86.583,33.53,0.00129,-2.889410289700751
-87.707,33.607,0.00121,-2.91721462968355
-87.005,33.56,0.00148,-2.8297382846050425
-88.34,33.659,0.0006,-3.2218487496163566
-87.906,33.633,0.00086,-3.065501548756432
-85.961,33.496,0.00084,-3.0757207139381184
-85.099,33.425,0.00033,-3.4814860601221125
-88.773,33.683,0.00052,-3.283996656365201
-88.556,33.671,0.00054,-3.2676062401770314
-88.123,33.646,0.0007,-3.154901959985743
-86.393,33.529,0.00117,-2.9318141382538383
-86.177,33.513,0.00103,-2.9871627752948275
-85.746,33.479,0.00067,-3.1739251972991736
-85.53,33.461,0.00053,-3.275724130399211
-85.315,33.443,0.00041,-3.3872161432802645
-84.884,33.406,0.00028,-3.552841968657781
-87.274,33.695,0.00141,-2.85078088734462
-86.993,33.676,0.00142,-2.847711655616944
-86.852,33.666,0.00133,-2.876148359032914
-87.697,33.723,0.00106,-2.9746941347352296
-87.556,33.714,0.00116,-2.9355420107730814
-87.415,33.705,0.00141,-2.85078088734462
-87.133,33.686,0.0014,-2.853871964321762
-86.711,33.656,0.00128,-2.892790030352132
-88.541,33.85,0.0006,-3.2218487496163566
-88.107,33.824,0.00079,-3.1023729087095586
-85.508,33.639,0.00071,-3.1487416512809245
-85.077,33.603,0.00049,-3.309803919971486
-84.861,33.584,0.00039,-3.408935392973501
-88.759,33.862,0.00056,-3.2518119729938
-88.324,33.837,0.00068,-3.167491087293764
-87.89,33.811,0.00095,-3.0222763947111524
-87.673,33.798,0.00105,-2.978810700930062
-86.59,33.724,0.00122,-2.913640169325252
-86.373,33.708,0.00116,-2.9355420107730814
-86.157,33.691,0.00106,-2.9746941347352296
-85.941,33.674,0.00096,-3.017728766960432
-85.725,33.657,0.00084,-3.0757207139381184
-85.292,33.621,0.0006,-3.2218487496163566
-87.545,33.83,0.00107,-2.9706162223147903
-87.404,33.821,0.00121,-2.91721462968355
-87.122,33.802,0.00131,-2.882728704344236
-87.263,33.811,0.00122,-2.913640169325252
-86.981,33.792,0.00131,-2.882728704344236
-86.84,33.782,0.00121,-2.91721462968355
-87.392,33.937,0.00105,-2.978810700930062
-87.251,33.927,0.00106,-2.9746941347352296
-87.656,33.976,0.00098,-3.0087739243075053
-85.703,33.835,0.0011,-2.958607314841775
-85.27,33.8,0.00091,-3.0409586076789066
-88.744,34.04,0.00062,-3.207608310501746
-88.527,34.028,0.00066,-3.1804560644581312
-88.309,34.016,0.00075,-3.1249387366083
-88.091,34.003,0.00089,-3.050609993355087
-87.874,33.99,0.00094,-3.026872146400301
-87.439,33.962,0.00101,-2.9956786262173574
-87.222,33.948,0.00103,-2.9871627752948275
-87.005,33.933,0.00106,-2.9746941347352296
-86.788,33.918,0.00108,-2.96657624451305
-86.57,33.902,0.00108,-2.96657624451305
-86.354,33.886,0.00108,-2.96657624451305
-86.137,33.869,0.00111,-2.9546770212133424
-85.92,33.853,0.00112,-2.9507819773298185
-85.487,33.818,0.00105,-2.978810700930062
