Longitude,Latitude,D (m),log(d)
-114.247,35.143,0.02576,-1.5890541413122254
-111.772,35.163,0.04663,-1.331334584545508
-110.425,35.167,0.00925,-2.0338582672609675
-115.159,35.171,0.03022,-1.5197055399969934
-112.901,35.176,0.0373,-1.4282911681913124
-114.03,35.179,0.0282,-1.5497508916806388
-111.554,35.194,0.0441,-1.3555614105321614
-108.64,35.208,0.00646,-2.189767482004916
-114.942,35.208,0.02958,-1.5290018303391264
-112.683,35.21,0.04265,-1.3700809644964582
-113.813,35.214,0.02998,-1.523168371487739
-111.335,35.225,0.03827,-1.4171415377755008
-112.465,35.242,0.04567,-1.3403689883929994
-114.726,35.246,0.03023,-1.5195618528221828
-113.595,35.249,0.02956,-1.529295570277212
-111.117,35.255,0.02932,-1.5328360340309095
-112.247,35.275,0.05066,-1.2953348145454708
-114.509,35.282,0.03218,-1.4924139602369892
-113.378,35.284,0.03133,-1.504039605118295
-110.898,35.285,0.01915,-1.7178312216953584
-112.029,35.307,0.05519,-1.2581396059347365
-110.68,35.314,0.01225,-1.9118639112994489
-113.16,35.318,0.03279,-1.4842585833306348
-114.291,35.318,0.03351,-1.4748255721647283
-111.811,35.339,0.0538,-1.269217724333611
-110.461,35.344,0.00765,-2.1163385648463824
-112.942,35.352,0.0358,-1.4461169733561257
-114.074,35.354,0.03251,-1.4879830305038733
-111.592,35.37,0.0504,-1.2975694635544748
-114.989,35.383,0.0418,-1.3788237182249647
-112.724,35.385,0.04227,-1.3739677521709812
-113.856,35.39,0.03221,-1.492009275180309
-111.373,35.401,0.04304,-1.3661277373416671
-112.506,35.418,0.05035,-1.2980005251103632
-114.771,35.42,0.04343,-1.362210170637771
-113.639,35.425,0.03133,-1.504039605118295
-111.154,35.431,0.02908,-1.5364055978129998
-112.287,35.451,0.05552,-1.2555505425532014
-114.554,35.457,0.04224,-1.374276090474244
-113.421,35.459,0.03128,-1.5047332556121895
-110.935,35.461,0.01793,-1.7464197104378172
-110.716,35.491,0.01163,-1.9344202852715515
-114.336,35.493,0.04193,-1.3774751375964318
-113.202,35.493,0.0362,-1.4412914294668342
-110.497,35.52,0.00712,-2.1475200063631434
-112.984,35.527,0.03651,-1.4375881670502726
-114.118,35.529,0.03927,-1.4059390987295817
-110.277,35.549,0.0044,-2.356547323513813
-115.035,35.558,0.05382,-1.2690563065722642
-112.765,35.561,0.04191,-1.3776823391661557
-113.9,35.565,0.03619,-1.4414114168918006
-112.547,35.594,0.05094,-1.2929410593724038
-114.817,35.595,0.06228,-1.2056513961039173
-113.682,35.6,0.03515,-1.4540746706441572
-111.192,35.607,0.03304,-1.4809599613516553
-112.328,35.626,0.06053,-1.218029326087448
-114.599,35.632,0.05924,-1.2273849501508292
-113.463,35.635,0.03237,-1.489857300597427
-110.972,35.637,0.0189,-1.723538195826756
-110.753,35.667,0.01166,-1.933301449577005
-114.381,35.668,0.0543,-1.265200170411153
-113.245,35.669,0.03302,-1.4812229310732252
-110.533,35.696,0.00705,-2.151810883008601
-113.026,35.703,0.03734,-1.4278256863869403
-114.163,35.704,0.04832,-1.3158730743869245
-110.313,35.725,0.00428,-2.368556230986828
-112.807,35.736,0.04252,-1.3714067441487408
-113.944,35.74,0.04118,-1.3853136577179874
-112.587,35.769,0.05173,-1.2862575215909176
-113.726,35.775,0.03699,-1.431915668684606
-111.23,35.783,0.03411,-1.4671182805926029
-112.368,35.802,0.06316,-1.1995578786637435
-113.507,35.81,0.03626,-1.44057220024051
-111.01,35.813,0.02124,-1.6728454875905685
-110.79,35.843,0.01231,-1.909741947068684
-114.426,35.843,0.06845,-1.1646265475299913
-113.287,35.844,0.03376,-1.4715975620463826
-110.569,35.872,0.00724,-2.140261433802853
-113.068,35.878,0.03655,-1.4371126187061207
-114.208,35.879,0.06017,-1.2206199885083442
-110.349,35.901,0.00431,-2.3655227298392685
-112.848,35.912,0.0421,-1.3757179041643317
-113.989,35.915,0.05029,-1.298518364379073
-110.128,35.93,0.00274,-2.562249437179612
-112.629,35.945,0.04982,-1.3025962767995125
-113.769,35.95,0.04062,-1.391260080931212
-111.268,35.959,0.03541,-1.450874073241889
-112.409,35.978,0.06146,-1.2114074440796403
-113.55,35.985,0.03665,-1.4359260210228533
-111.047,35.989,0.0218,-1.6615435063953952
-110.827,36.019,0.01298,-1.8867253075356496
-113.33,36.02,0.03541,-1.450874073241889
-110.606,36.049,0.00749,-2.1255181823005334
-114.253,36.054,0.069,-1.1611509092627446
-110.385,36.078,0.00445,-2.3516399890190685
-112.89,36.087,0.04317,-1.3648179513437324
