Longitude,Latitude,D (m),log(d)
-90.751,35.126,0.7323,-0.1353109658631489
-90.086,35.135,0.58024,-0.2363923355463101
-90.13,35.137,0.64737,-0.1888474302598889
-90.174,35.139,0.71845,-0.1436034508835311
-90.218,35.141,0.79127,-0.1016752996856587
-90.263,35.143,0.86441,-0.0632802175873871
-90.307,35.144,0.93832,-0.0276490267233099
-90.351,35.146,1.00875,0.0037835477301268
-90.395,35.148,1.06969,0.0292579358199562
-90.439,35.15,1.11301,0.0464990663340875
-90.484,35.151,1.13283,0.0541647416362468
-90.528,35.153,1.13031,0.053197569877794
-90.572,35.155,1.10665,0.0440102883555752
-90.616,35.156,1.06129,0.0258340721112797
-90.661,35.158,0.99924,-0.0003301892940773
-90.705,35.16,0.9241,-0.0342810297557791
-90.749,35.161,0.84079,-0.0753124622636456
-90.793,35.163,0.75444,-0.1223752936021877
-89.995,35.167,0.52035,-0.2837044411022589
-90.039,35.169,0.5895,-0.229516190568892
-90.083,35.171,0.66369,-0.1780347259432171
-90.128,35.173,0.74359,-0.128666459370851
-90.172,35.175,0.82719,-0.0823947244569389
-90.216,35.177,0.91282,-0.0396148530393565
-90.26,35.178,0.99828,-0.0007476296548511
-90.305,35.18,1.08208,0.0342593700812674
-90.349,35.182,1.1672,0.0671452788853952
-90.393,35.184,1.24306,0.0944920916666073
-90.437,35.185,1.29294,0.111578371536605
-90.482,35.187,1.31721,0.1196550191309221
-90.526,35.189,1.31831,0.1200175464180106
-90.57,35.19,1.29567,0.1124944032100945
-90.614,35.192,1.24688,0.0958246588951074
-90.659,35.194,1.17249,0.0691091473672154
-90.703,35.195,1.0829,0.0345883537136243
-90.747,35.197,0.97886,-0.0092794180796628
-90.791,35.199,0.87312,-0.0589260635609292
-90.836,35.2,0.76609,-0.115720206598014
-89.948,35.201,0.51627,-0.2871231106936195
-89.993,35.203,0.59539,-0.2251984639138326
-90.037,35.205,0.67236,-0.1723981314848068
-90.081,35.207,0.76181,-0.1181533308135409
-90.125,35.209,0.85659,-0.0672269999489861
-90.17,35.211,0.95544,-0.019796580704296
-90.214,35.212,1.05556,0.023482924454018
-90.258,35.214,1.15617,0.0630216962244537
-90.302,35.216,1.25901,0.1000291796134793
-90.347,35.218,1.35976,0.1334622614043622
-90.391,35.219,1.44961,0.161251176283234
-90.435,35.221,1.50844,0.1785280402735894
-90.479,35.223,1.54214,0.1881238020336968
-90.524,35.225,1.55578,0.1919481842082286
-90.568,35.226,1.53968,0.1874304684500403
-90.612,35.228,1.48796,0.1725912564700937
-90.657,35.229,1.40264,0.1469462197984493
-90.701,35.231,1.28625,0.1093253877704893
-90.745,35.233,1.15405,0.0622246253307055
-90.789,35.234,1.01719,0.0074020819734248
-89.902,35.235,0.50483,-0.2968548446368935
-90.834,35.236,0.88336,-0.0538622702039369
-89.946,35.237,0.58094,-0.2358687196139678
-90.878,35.237,0.7594,-0.1195294071962216
-89.99,35.239,0.66846,-0.1749245753863214
-90.035,35.241,0.76596,-0.1157939095225699
-90.079,35.243,0.87255,-0.0592096771459509
-90.123,35.244,0.98689,-0.0057312516417066
-90.167,35.246,1.10304,0.0425912617278536
-90.212,35.248,1.22726,0.0889365795188007
-90.256,35.25,1.34934,0.1301213948305044
-90.3,35.252,1.47507,0.1688126304107144
-90.345,35.253,1.59818,0.2036256915013381
-90.389,35.255,1.6964,0.229528263787672
-90.433,35.257,1.77329,0.2487797649865759
-90.477,35.259,1.82701,0.2617409244367926
-90.522,35.26,1.86214,0.2700123291382457
-90.566,35.262,1.86239,0.2700706310558777
-90.61,35.264,1.81389,0.2586109465380157
-90.655,35.265,1.70835,0.2325768520067968
-90.699,35.267,1.55867,0.1927541765426326
-90.743,35.268,1.3816,0.1403823245594023
-89.855,35.269,0.49179,-0.3082203064004191
-90.787,35.27,1.19864,0.0786887665103198
-89.899,35.271,0.5668,-0.2465701584245772
-90.832,35.272,1.02337,0.010032681518818
-89.944,35.273,0.65456,-0.1840505378457014
-90.876,35.273,0.86691,-0.0620259873360422
-89.988,35.275,0.75683,-0.1210016612571244
-90.032,35.276,0.87227,-0.0593490639663413
-90.077,35.278,1.00053,0.0002301151002922
-90.121,35.28,1.1342,0.0546896429499799
-90.165,35.282,1.27981,0.107145499275682
-90.209,35.284,1.43192,0.1559187550325358
-90.254,35.286,1.58824,0.2009161295772719
-90.298,35.287,1.75057,0.2431794815711518
-90.342,35.289,1.89217,0.2769601525442267
-90.387,35.291,2.00311,0.3017047990595693
-90.431,35.293,2.08742,0.3196098402158485
-90.475,35.294,2.17802,0.3380618634132172
