Longitude,Latitude,D (m),log(d)
-119.793,34.957,5.06159,0.704286963432065
-116.698,34.958,2.33348,0.3680040829469683
-118.926,34.958,7.75669,0.889676434994571
-115.328,34.959,0.04691,-1.3287345670528417
-118.744,34.959,7.43381,0.8712114568126986
-117.443,34.959,3.64365,0.5615366530515228
-118.562,34.959,11.2154,1.0498147674147404
-116.88,34.96,6.13522,0.7878301405060467
-119.612,34.961,10.13615,1.0058730288377236
-116.118,34.961,0.54372,-0.2646246917731893
-118.263,34.962,3.64089,0.5612075580565307
-117.062,34.962,3.51329,0.545713999550525
-120.275,34.963,1.20821,0.0821424259364424
-119.43,34.963,22.82251,1.358363406042073
-119.248,34.964,11.69503,1.068001340195428
-116.45,34.965,1.06605,0.0277775744981087
-120.215,34.965,1.44169,0.1588718860679265
-119.066,34.966,10.47608,1.0201988062314202
-116.655,34.966,1.84505,0.2660081398337583
-118.883,34.967,7.02199,0.8464602066519882
-118.701,34.968,7.53434,0.8770452145919753
-119.751,34.968,6.15861,0.7894827028383071
-118.519,34.968,10.41247,1.0175537631444262
-116.837,34.968,4.31661,0.6351428124971041
-114.202,34.968,0.01142,-1.9423338960901708
-119.569,34.97,12.7021,1.1038755274927452
-117.019,34.97,3.6509,0.562399937566829
-119.387,34.972,17.59407,1.2453663155279802
-119.205,34.973,9.96567,0.9985065019849596
-117.957,34.975,1.71196,0.2334936131552578
-119.023,34.975,9.98578,0.9993819937400704
-118.841,34.976,6.48914,0.8121871439494125
-116.794,34.976,3.15579,0.4991080956541076
-118.658,34.976,7.70393,0.8867123280168094
-118.476,34.977,9.69068,0.9863542527872012
-119.709,34.977,7.53464,0.8770625068499235
-117.347,34.978,3.52273,0.54687935791196
-116.976,34.978,3.48235,0.5418724185417191
-119.526,34.979,16.29844,1.212146038034997
-120.529,34.979,0.92869,-0.032129230847144
-118.363,34.979,5.75689,0.7601879312356772
-119.344,34.981,13.64539,1.1349859527891664
-116.659,34.981,1.6952,0.2292209437027381
-118.166,34.981,2.84534,0.4541341692552635
-116.042,34.982,0.45746,-0.3396468743598115
-119.162,34.982,9.10444,0.9592532381716538
-118.98,34.984,7.56476,0.8787951541266803
