Longitude,Latitude,D (m),log(d)
-75.405,38.114,5e-05,-4.301029995663981
-75.743,38.168,7e-05,-4.154901959985743
-75.334,38.376,7e-05,-4.154901959985743
-75.673,38.43,9e-05,-4.045757490560675
-76.013,38.484,0.00011,-3.958607314841775
-75.262,38.637,9e-05,-4.045757490560675
-75.603,38.692,0.00011,-3.958607314841775
-75.944,38.746,0.00014,-3.853871964321762
-76.286,38.799,0.00016,-3.795880017344075
-75.532,38.954,0.00016,-3.795880017344075
-75.875,39.008,0.00019,-3.721246399047171
-76.217,39.061,0.00021,-3.677780705266081
-74.775,39.105,0.00013,-3.886056647693163
-75.461,39.216,0.00024,-3.619788758288394
-75.804,39.27,0.00028,-3.552841968657781
-76.148,39.324,0.00031,-3.508638306165728
-75.98,39.37,0.00033,-3.4814860601221125
-76.209,39.405,0.00035,-3.4559319556497243
-75.045,39.423,0.00028,-3.552841968657781
-75.473,39.473,0.00037,-3.431798275933005
-75.703,39.509,0.00041,-3.3872161432802645
-75.933,39.545,0.00044,-3.356547323513813
-74.965,39.574,0.00034,-3.4685210829577446
-76.163,39.58,0.00045,-3.3467874862246565
-75.195,39.611,0.0004,-3.397940008672037
-75.425,39.648,0.00046,-3.337242168318426
-75.655,39.684,0.00052,-3.283996656365201
-75.886,39.72,0.00055,-3.2596373105057563
-74.916,39.748,0.00044,-3.356547323513813
-76.117,39.755,0.00057,-3.2441251443275085
-75.146,39.786,0.00049,-3.309803919971486
-76.348,39.79,0.00053,-3.275724130399211
-75.377,39.822,0.00054,-3.2676062401770314
-75.608,39.859,0.00059,-3.229147988357856
-75.839,39.895,0.00063,-3.2006594505464183
-74.866,39.923,0.00056,-3.2518119729938
-76.07,39.93,0.00064,-3.193820026016113
-75.097,39.96,0.00058,-3.2365720064370627
-75.328,39.997,0.00059,-3.229147988357856
-75.56,40.034,0.00061,-3.214670164989233
-75.791,40.07,0.00062,-3.207608310501746
-76.023,40.105,0.00061,-3.214670164989233
-75.048,40.135,0.00067,-3.1739251972991736
-75.28,40.172,0.00062,-3.207608310501746
-75.512,40.208,0.00058,-3.2365720064370627
-75.744,40.244,0.00056,-3.2518119729938
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
