Longitude,Latitude,D (m),log(d)
-88.483,37.641,0.12008,-0.920529320764786
-88.586,37.647,0.15019,-0.8233589827073332
-88.688,37.652,0.18989,-0.721497905506117
-88.791,37.657,0.22138,-0.654861616889899
-88.894,37.662,0.24656,-0.6080773786256559
-88.997,37.667,0.25953,-0.5858124332629094
-89.099,37.673,0.25456,-0.5942098376974937
-89.202,37.677,0.23446,-0.6299312393499482
-87.605,37.678,0.0134,-1.8728952016351923
-89.305,37.682,0.20724,-0.6835264163849164
-89.991,37.683,0.03589,-1.4450265416667605
-87.753,37.687,0.01867,-1.7288556820509218
-89.408,37.687,0.1716,-0.7654827164873134
-90.139,37.689,0.02746,-1.5612994670992637
-89.511,37.692,0.1391,-0.8566728700079536
-90.288,37.695,0.02436,-1.6133227160391623
-87.902,37.695,0.02674,-1.5728385970740344
-89.614,37.696,0.11407,-0.942828558452734
-90.436,37.701,0.02044,-1.689519108537325
-89.717,37.701,0.08423,-1.074533199308462
-88.05,37.704,0.03101,-1.5084982337626736
-89.819,37.705,0.05307,-1.2751509123706144
-89.922,37.71,0.03818,-1.418164075942352
-88.27,37.71,0.05111,-1.291494119044763
-88.199,37.712,0.04298,-1.3667335888445755
-88.373,37.716,0.06936,-1.158890915531846
-88.476,37.721,0.0957,-1.0190880622231564
-88.579,37.727,0.11361,-0.9445834401595112
-88.682,37.732,0.13115,-0.8822317050736277
-88.784,37.737,0.14968,-0.8248362255080465
-88.887,37.743,0.16483,-0.7829637413723735
-88.99,37.748,0.17172,-0.7651791201925988
-89.093,37.753,0.16829,-0.7739416895728871
-89.196,37.758,0.15598,-0.8069310839947272
-89.299,37.762,0.13868,-0.8579861670156409
-89.402,37.767,0.12056,-0.9187967606934246
-89.505,37.772,0.10391,-0.983342655177798
-89.608,37.777,0.07329,-1.1349552783069008
-89.711,37.781,0.05061,-1.2957636626912123
-89.834,37.793,0.03496,-1.4564285760376343
-87.593,37.793,0.01319,-1.8797552044536348
-88.366,37.796,0.05103,-1.2921744316677686
-89.983,37.799,0.02792,-1.5540845860488766
-88.469,37.801,0.06486,-1.188023055663046
-87.742,37.802,0.01753,-1.7562180839062052
-90.132,37.805,0.02354,-1.628193541492584
-88.572,37.807,0.08214,-1.0854453014823664
-90.28,37.811,0.02078,-1.682354456778841
-87.891,37.811,0.02376,-1.624153563690844
-88.675,37.812,0.10044,-0.9980932959591152
-90.429,37.816,0.01708,-1.7675121336470137
-88.778,37.817,0.10824,-0.9656122164104334
-88.039,37.82,0.02798,-1.5531522898441912
-90.578,37.822,0.01289,-1.889747082646597
-88.881,37.823,0.11381,-0.9438195766578596
-88.984,37.828,0.11607,-0.9352800155590926
-88.188,37.828,0.03387,-1.4701848033553695
-89.087,37.833,0.11432,-0.941877784217086
-88.337,37.836,0.0421,-1.3757179041643317
-89.19,37.838,0.10888,-0.9630518878047216
-89.293,37.843,0.10083,-0.9964102328108602
-89.396,37.847,0.07967,-1.0987051828344327
-89.081,37.875,0.09639,-1.0159680197288194
-89.23,37.882,0.08181,-1.0871936073387076
-89.379,37.889,0.06216,-1.2064889942071422
-89.528,37.896,0.04459,-1.3507625276503927
-89.677,37.902,0.03339,-1.4763835809456292
-89.826,37.909,0.02697,-1.569119053547109
-87.582,37.909,0.0114,-1.9430951486635275
-89.975,37.915,0.02339,-1.630969778190847
-87.731,37.918,0.01577,-1.8021683066710967
-90.124,37.921,0.02041,-1.6901569952839297
-90.273,37.927,0.01683,-1.7739158840241762
-87.879,37.927,0.02097,-1.678401569534656
-90.422,37.932,0.01266,-1.897566294318664
-88.028,37.935,0.02529,-1.5970511706555952
-90.571,37.938,0.00731,-2.13608262304214
-90.72,37.943,0.00383,-2.416801226031377
-88.177,37.944,0.02891,-1.538951908329342
-88.326,37.952,0.03234,-1.4902599844296176
-88.475,37.96,0.03639,-1.4390179444137643
-88.624,37.968,0.04118,-1.3853136577179874
-88.773,37.976,0.04544,-1.3425616772970377
-88.922,37.983,0.04738,-1.3244049436132537
-89.072,37.99,0.04548,-1.3421795439843027
-89.221,37.998,0.04087,-1.3885953622884066
-89.37,38.005,0.03438,-1.4636941276489663
-89.519,38.011,0.02914,-1.5355104525660286
-87.421,38.016,0.00772,-2.112382699664264
-89.668,38.018,0.02493,-1.6032777214962266
-89.818,38.024,0.02227,-1.6522797829659617
-87.57,38.025,0.00969,-2.0136762229492344
-89.967,38.031,0.01956,-1.7086311495484174
-87.719,38.034,0.01344,-1.8716007312821936
-90.116,38.037,0.01638,-1.7856861025756003
-87.868,38.042,0.01812,-1.7418418066592056
-90.266,38.042,0.01238,-1.9072793553159009
-90.415,38.048,0.0073,-2.136677139879544
-88.017,38.051,0.02237,-1.6503340159033704
-90.564,38.054,0.00403,-2.3946949538588904
-90.714,38.059,0.00268,-2.571865205971211
-88.167,38.059,0.02521,-1.5984271543235542
-90.637,39.865,9e-05,-4.045757490560675
-90.99,39.877,6e-05,-4.221848749616356
-87.526,39.879,0.00055,-3.2596373105057563
-91.344,39.888,4e-05,-4.3979400086720375
-87.761,39.893,0.00049,-3.309803919971486
-91.698,39.898,3e-05,-4.522878745280337
-87.996,39.906,0.00042,-3.3767507096021
-92.051,39.907,3e-05,-4.522878745280337
-88.232,39.919,0.00033,-3.4814860601221125
-88.467,39.932,0.00027,-3.5686362358410126
-88.703,39.944,0.00023,-3.638272163982407
-88.939,39.955,0.0002,-3.6989700043360183
-89.174,39.967,0.00019,-3.721246399047171
-89.41,39.977,0.00017,-3.769551078621726
-89.646,39.988,0.00015,-3.823908740944319
