Longitude,Latitude,D (m),log(d)
-69.032,45.887,0.00092,-3.036212172654445
-70.093,45.904,0.0014,-2.853871964321762
-68.219,45.913,0.00058,-3.2365720064370627
-69.28,45.936,0.00114,-2.9430951486635277
-68.466,45.962,0.00066,-3.1804560644581312
-69.528,45.984,0.00139,-2.856985199745905
-68.714,46.012,0.00083,-3.0809219076239263
-69.777,46.031,0.00172,-2.7644715530924517
-67.899,46.035,0.00058,-3.2365720064370627
-68.962,46.061,0.00111,-2.9546770212133424
-70.026,46.078,0.00213,-2.6716203965612624
-68.147,46.086,0.00062,-3.207608310501746
-69.211,46.109,0.00147,-2.832682665251824
-68.395,46.136,0.00075,-3.1249387366083
-69.46,46.157,0.00196,-2.707743928643524
-68.643,46.185,0.00103,-2.9871627752948275
-69.709,46.205,0.00269,-2.570247719997592
-67.826,46.208,0.00066,-3.1804560644581312
-68.892,46.234,0.00141,-2.85078088734462
-69.959,46.252,0.00369,-2.43297363384094
-68.075,46.259,0.00072,-3.1426675035687315
-69.141,46.283,0.00201,-2.696803942579511
-68.323,46.309,0.00091,-3.0409586076789066
-69.391,46.331,0.00296,-2.5287082889410613
-68.572,46.359,0.00126,-2.899629454882437
-69.641,46.379,0.00462,-2.3353580244438743
-68.822,46.408,0.00186,-2.7304870557820835
-68.002,46.432,0.00088,-3.0555173278498318
-69.801,46.433,0.00713,-2.1469104701481343
-69.072,46.457,0.00285,-2.54515513999149
-69.964,46.463,0.01007,-1.996970529446382
-68.251,46.482,0.00112,-2.9507819773298185
-69.322,46.505,0.00479,-2.319664486585437
-69.594,46.515,0.00797,-2.098541678603888
-68.501,46.532,0.00157,-2.8041003475907664
-69.757,46.546,0.01123,-1.949620243738542
-69.92,46.577,0.01424,-1.8464900106991624
-68.751,46.582,0.00243,-2.614393726401688
-69.386,46.597,0.0079,-2.1023729087095586
-67.929,46.605,0.00108,-2.96657624451305
-69.549,46.628,0.01161,-1.9351677802614264
-69.001,46.631,0.00409,-2.388276691992658
-68.179,46.656,0.00133,-2.876148359032914
-69.713,46.659,0.01542,-1.8119156262850615
-69.178,46.679,0.00688,-2.162411561764489
-69.876,46.69,0.02069,-1.6842395093342657
-68.429,46.706,0.00192,-2.7166987712964503
-69.341,46.71,0.0111,-1.9546770212133424
-69.504,46.741,0.01529,-1.81559251458768
-68.68,46.755,0.00311,-2.5072396109731625
-69.668,46.772,0.02135,-1.6706021206389574
-67.856,46.778,0.00127,-2.896196279044043
-69.132,46.792,0.00976,-2.0105501823333083
-69.832,46.803,0.03091,-1.509900994936695
-68.931,46.804,0.00589,-2.2298847052128985
-69.296,46.823,0.01396,-1.8551145817128576
-68.106,46.829,0.00154,-2.812479279163537
-69.459,46.855,0.02,-1.6989700043360187
-68.923,46.873,0.00714,-2.1463017882238256
-68.357,46.879,0.00226,-2.6458915608525992
-69.623,46.886,0.02976,-1.526367073126159
-69.087,46.905,0.01188,-1.9251835593548248
-68.608,46.929,0.00385,-2.4145392704914994
-69.25,46.937,0.01719,-1.7647241233129476
-69.414,46.968,0.02582,-1.5880437620695984
-68.877,46.986,0.00903,-2.0443122496864943
-69.578,46.999,0.04169,-1.3799681048737027
-68.033,47.002,0.00172,-2.7644715530924517
-69.041,47.018,0.01377,-1.8610660597430764
-69.205,47.05,0.02068,-1.684449465578095
-68.285,47.053,0.00252,-2.598599459218456
-68.667,47.067,0.00586,-2.232102383981909
-69.369,47.081,0.03275,-1.484788695672198
-68.831,47.099,0.01051,-1.9783972839717576
-68.537,47.103,0.00449,-2.3477536589966768
-69.533,47.112,0.0577,-1.2388241868442686
-68.995,47.131,0.01555,-1.808269606637144
-69.159,47.163,0.02406,-1.618704376996174
-67.96,47.176,0.0018,-2.744727494896694
-68.62,47.18,0.00648,-2.1884249941294067
-69.324,47.194,0.04067,-1.3907258275954124
-68.785,47.212,0.0113,-1.9469215565165805
-68.212,47.227,0.00265,-2.576754126063192
-69.113,47.276,0.02694,-1.5696024086130331
-68.464,47.277,0.0048,-2.318758762624413
-69.278,47.308,0.04841,-1.3150649173591102
-69.067,47.389,0.02858,-1.5439377755450483
-69.232,47.421,0.05344,-1.2721335505325106
-70.833,42.762,0.00268,-2.571865205971211
-70.987,42.791,0.00325,-2.4881166390211256
-71.142,42.82,0.00334,-2.4762535331884354
-71.297,42.849,0.00364,-2.438898616350944
-70.947,42.904,0.00305,-2.515700160653214
-71.102,42.933,0.00334,-2.4762535331884354
-71.258,42.962,0.00368,-2.4341521813264824
-70.907,43.017,0.00301,-2.5214335044061564
-71.062,43.046,0.00318,-2.4975728800155674
-71.218,43.075,0.0036,-2.4436974992327127
-70.712,43.1,0.00266,-2.575118363368933
-71.373,43.103,0.00413,-2.384049948343599
-70.867,43.129,0.00274,-2.562249437179612
-71.022,43.159,0.00301,-2.5214335044061564
-71.178,43.188,0.00347,-2.4596705252091264
-70.671,43.213,0.0024,-2.619788758288394
-71.334,43.216,0.00372,-2.4294570601181023
-70.826,43.242,0.00257,-2.5900668766687054
-71.49,43.245,0.00377,-2.423658649794207
-70.982,43.271,0.00284,-2.5466816599529625
-71.138,43.3,0.00317,-2.4989407377822483
-70.63,43.325,0.00225,-2.6478174818886377
-71.294,43.329,0.00342,-2.465973893943865
-70.786,43.355,0.00242,-2.616184634019569
-71.45,43.358,0.00347,-2.4596705252091264
-70.942,43.384,0.00266,-2.575118363368933
-70.433,43.408,0.002,-2.6989700043360187
-71.098,43.413,0.00305,-2.515700160653214
