Longitude,Latitude,D (m),log(d)
-81.673,35.605,0.0008,-3.096910013008056
-84.086,35.609,0.01948,-1.7104110474574032
-82.42,35.611,0.00173,-2.7619538968712045
-83.587,35.613,0.00837,-2.07727454200674
-84.153,35.615,0.01663,-1.779107750780481
-78.774,35.621,8e-05,-4.096910013008056
-80.319,35.625,0.00025,-3.6020599913279625
-82.563,35.626,0.00189,-2.723538195826756
-83.731,35.626,0.01045,-1.9808837095529277
-81.894,35.63,0.001,-3.0
-84.225,35.639,0.01539,-1.8127613801685212
-82.707,35.641,0.00218,-2.661543506395395
-83.879,35.644,0.01552,-1.8091082830778304
-77.071,35.645,4e-05,-4.3979400086720375
-84.324,35.648,0.01369,-1.86359655186601
-83.946,35.65,0.01782,-1.749092300299144
-80.539,35.652,0.00029,-3.537602002101044
-83.968,35.654,0.01874,-1.7272304134482406
-82.115,35.654,0.00124,-2.906578314837765
-82.851,35.656,0.00253,-2.596879478824182
-84.424,35.657,0.01195,-1.9226320947158435
-84.013,35.658,0.01975,-1.704432900037521
-84.079,35.663,0.01822,-1.7394516273630205
-79.104,35.666,0.0001,-4.0
-84.145,35.669,0.0166,-1.779891911959945
-82.994,35.671,0.0031,-2.508638306165728
-80.759,35.679,0.00034,-3.4685210829577446
-83.815,35.682,0.01453,-1.8377343857019783
-83.138,35.685,0.00379,-2.421360790031928
-83.919,35.686,0.02421,-1.6160052105582672
-83.963,35.69,0.02318,-1.6348865683724227
-84.007,35.694,0.04232,-1.3734543409728706
-77.399,35.695,4e-05,-4.3979400086720375
-83.872,35.697,0.02131,-1.671416550285798
-84.052,35.698,0.02102,-1.6773672883077766
-83.282,35.7,0.0052,-2.283996656365201
-80.98,35.705,0.00042,-3.3767507096021
-79.434,35.71,0.00012,-3.9208187539523753
-83.426,35.714,0.00626,-2.2034256667895704
-84.213,35.719,0.0158,-1.8013429130455774
-83.914,35.721,0.02374,-1.6245192853814276
-84.137,35.722,0.01703,-1.768785352037399
-83.958,35.725,0.02219,-1.6538426977679916
-82.401,35.726,0.00167,-2.7772835288524167
-83.57,35.728,0.00796,-2.099086932262331
-84.313,35.728,0.01289,-1.889747082646597
-84.002,35.729,0.02421,-1.6160052105582672
-81.2,35.731,0.00051,-3.292429823902064
-84.047,35.734,0.02029,-1.692717952966654
-82.544,35.741,0.00186,-2.7304870557820835
-83.714,35.742,0.01064,-1.973058372040971
-77.728,35.744,5e-05,-4.301029995663981
-83.864,35.75,0.01725,-1.763210900590707
-79.764,35.754,0.00015,-3.823908740944319
-82.688,35.756,0.00217,-2.6635402661514704
-83.909,35.757,0.02018,-1.6950788380991082
-81.421,35.757,0.00064,-3.193820026016113
-83.953,35.761,0.02109,-1.6759234202605136
-83.803,35.762,0.01368,-1.8639139026159024
-83.997,35.765,0.02277,-1.6426369693848573
-84.042,35.769,0.0203,-1.6925039620867872
-82.832,35.771,0.00258,-2.58838029403677
-84.13,35.775,0.01656,-1.7809396675511386
-81.642,35.782,0.00081,-3.0915149811213505
-82.976,35.786,0.00323,-2.490797477668897
-78.057,35.792,5e-05,-4.301029995663981
-83.903,35.792,0.0361,-1.442492798094342
-80.094,35.796,0.00019,-3.721246399047171
-83.948,35.796,0.02189,-1.6597542384320685
-84.202,35.799,0.02118,-1.6740740442285338
-83.992,35.8,0.04893,-1.3104247842400618
-83.12,35.801,0.00417,-2.3798639450262424
-83.856,35.804,0.01735,-1.7607005208731077
-84.036,35.805,0.02171,-1.66334017654558
-81.863,35.807,0.00103,-2.9871627752948275
-83.264,35.815,0.00491,-2.308918507877032
-84.056,35.822,0.01786,-1.7481185454474724
-84.122,35.828,0.01534,-1.8141746403870376
-80.505,35.829,0.00028,-3.552841968657781
-83.408,35.829,0.00624,-2.204815410317576
-82.084,35.831,0.00127,-2.896196279044043
-83.942,35.832,0.01834,-1.7366006686659978
-83.987,35.836,0.01911,-1.7187393129449873
-78.387,35.839,6e-05,-4.221848749616356
-82.381,35.841,0.00164,-2.785156151952302
-83.791,35.842,0.01219,-1.913996294381618
-83.552,35.843,0.0077,-2.113509274827518
-80.726,35.855,0.00035,-3.4559319556497243
-82.525,35.856,0.00187,-2.728158393463501
-83.696,35.857,0.00999,-2.0004345117740177
-83.915,35.863,0.01519,-1.8184422261372135
-83.981,35.869,0.01557,-1.80771138743188
-84.091,35.87,0.01419,-1.848017604542526
-82.669,35.871,0.0022,-2.657577319177794
-84.048,35.876,0.0144,-1.8416375079047504
-84.191,35.879,0.0124,-1.9065783148377649
-80.947,35.882,0.00044,-3.356547323513813
-78.717,35.885,7e-05,-4.154901959985743
-82.813,35.886,0.00277,-2.557520230935552
-82.958,35.901,0.00322,-2.492144128304169
-81.168,35.908,0.00057,-3.2441251443275085
-77.008,35.908,4e-05,-4.3979400086720375
-83.102,35.916,0.00426,-2.370590400897281
-83.779,35.921,0.01101,-1.9582126810282483
-83.246,35.93,0.00486,-2.313363730737706
-79.048,35.93,8e-05,-4.096910013008056
-83.879,35.931,0.01183,-1.9270152553720696
-81.389,35.934,0.00071,-3.1487416512809245
-83.979,35.94,0.01194,-1.9229956732066495
-83.39,35.944,0.00603,-2.219682687859849
-82.362,35.956,0.00164,-2.785156151952302
-77.337,35.958,4e-05,-4.3979400086720375
-83.535,35.958,0.00735,-2.133712660915805
-81.611,35.959,0.00088,-3.0555173278498318
-82.506,35.971,0.00192,-2.7166987712964503
-83.679,35.972,0.00908,-2.041914151478915
-79.379,35.975,0.0001,-4.0
-81.832,35.984,0.0011,-2.958607314841775
-83.823,35.986,0.01068,-1.9714287473074623
-82.651,35.987,0.00222,-2.653647025549361
-82.795,36.001,0.00298,-2.5257837359237447
-80.471,36.005,0.0003,-3.5228787452803374
-77.667,36.007,5e-05,-4.301029995663981
-82.054,36.008,0.00132,-2.87942606879415
-82.939,36.016,0.00322,-2.492144128304169
-79.71,36.018,0.00013,-3.886056647693163
