Longitude,Latitude,D (m),log(d)
-123.899,41.549,25.21988,1.4017430158032085
-123.7,41.557,24.67953,1.3923368846825124
-124.052,41.551,27.31922,1.4364682955024777
-123.853,41.559,25.00108,1.3979587697884186
-123.654,41.568,24.68657,1.392460752404424
-124.205,41.552,32.62567,1.5135594390992908
-124.006,41.561,26.34703,1.4207316659505118
-123.807,41.57,24.83345,1.3950370583334843
-123.608,41.578,24.68049,1.3923537778159707
-124.159,41.563,30.62582,1.4860877256732443
-123.96,41.572,25.68129,1.409616835043649
-123.761,41.581,24.73747,1.3933552805305778
-124.312,41.565,35.55489,1.5508993393546604
-124.113,41.574,28.89952,1.460890629501098
-123.914,41.583,25.27203,1.4026401284410432
-123.715,41.591,24.72242,1.3930909802195834
-124.265,41.576,35.28061,1.5475360854547855
-124.067,41.585,27.4814,1.4390388534525511
-123.868,41.593,25.02728,1.3984136524376245
-124.418,41.577,36.82133,1.566099471327937
-123.669,41.602,24.67664,1.3922860253450016
-124.219,41.586,32.94619,1.5178051986675858
-124.02,41.595,26.46777,1.4227173520496583
-123.821,41.604,24.84176,1.3951823616821075
-124.372,41.588,36.07143,1.5571633596402044
-123.622,41.613,24.7024,1.3927391498637736
-124.173,41.597,30.86645,1.4894866834481897
-123.974,41.606,25.76105,1.410963560547735
-123.775,41.615,24.77871,1.3940786929010345
-124.326,41.599,35.5928,1.551362154250466
-124.127,41.608,29.11576,1.4641281308513403
-123.928,41.617,25.32937,1.403624388016913
-124.479,41.6,36.98532,1.5680293806054
-123.729,41.625,24.71751,1.393004718531383
-124.28,41.61,35.30876,1.547882465945606
-124.081,41.619,27.63423,1.4414473679078437
-123.882,41.628,25.05865,1.3989576702757185
-124.433,41.611,36.96506,1.56779141546111
-123.683,41.636,24.72016,1.3930512773752015
-124.234,41.62,33.26679,1.5220108966745267
-124.035,41.63,26.59235,1.4247567181866114
-123.836,41.638,24.89472,1.396107245970435
-124.387,41.622,36.18921,1.558579102688595
-123.637,41.647,24.71627,1.3929829307920003
-124.188,41.631,31.10082,1.4927718397271716
-123.989,41.64,25.85014,1.412462899502024
-124.54,41.623,36.97768,1.5679396598030113
-123.79,41.649,24.77662,1.3940420600921026
-124.341,41.633,35.67702,1.5523885718362354
-124.142,41.642,29.34536,1.4675394416756096
-123.943,41.651,25.38497,1.404576654490982
-124.494,41.634,36.97552,1.5679142903509475
-123.744,41.66,24.75585,1.3936778425629623
-124.295,41.644,35.35236,1.5484184110824513
-124.096,41.653,27.81088,1.4442147311546123
-123.897,41.662,25.08417,1.399399735406284
-124.448,41.645,36.99463,1.5681386881041983
-123.697,41.67,24.73999,1.3933995197496218
-124.249,41.655,33.59733,1.5263047651177852
-124.05,41.664,26.71247,1.426714047428868
-123.85,41.672,24.93001,1.3967224527093067
-124.402,41.656,36.28508,1.5597280849349993
-123.651,41.681,24.72259,1.3930939665699522
-124.203,41.665,31.36806,1.4964876600000052
-124.003,41.674,25.94258,1.4140131646565186
-124.555,41.657,36.99206,1.5681085168174729
-123.804,41.683,24.82481,1.3948859332492989
-124.356,41.667,35.72756,1.553003357240218
-124.156,41.676,29.56949,1.4708438340933874
-123.957,41.685,25.4497,1.4056826672577487
-124.509,41.668,36.99984,1.5681998460327424
-123.758,41.694,24.75875,1.393728714588545
-124.309,41.678,35.41286,1.5491610025011386
-124.11,41.687,27.99816,1.4471294910527883
-123.911,41.696,25.13599,1.4002959949179827
-124.463,41.679,37.00269,1.5682332973018824
-123.712,41.704,24.73738,1.3933537004751204
-124.263,41.689,33.95883,1.5309527188717662
-124.064,41.698,26.84129,1.4288033843143462
-124.616,41.68,36.99334,1.5681235440238377
-123.865,41.707,24.95675,1.3971880285678424
-124.416,41.69,36.39791,1.561076446793934
-123.666,41.715,24.74344,1.3934600780401445
-124.217,41.699,31.6361,1.5001829396525936
-124.018,41.708,26.05195,1.4158402359865785
-124.569,41.691,37.0135,1.5683601539634522
-123.819,41.717,24.8563,1.3954364819414111
-124.37,41.701,35.82554,1.5541927452592708
-124.171,41.71,29.83015,1.4746554372041176
-123.972,41.719,25.51811,1.4068485051993225
-124.523,41.702,37.00897,1.568306998374197
-123.772,41.728,24.81104,1.3946449688991676
-124.324,41.712,35.45024,1.549619179725653
-124.125,41.721,28.17943,1.4499322041616165
-124.676,41.703,37.00772,1.5682923295717304
-123.926,41.73,25.18446,1.401132643240803
-124.477,41.713,36.9921,1.5681089864255422
-123.726,41.739,24.78575,1.3942020648967408
-124.278,41.723,34.32904,1.535661658697171
-124.079,41.732,26.99562,1.4312933062279585
-124.63,41.714,37.00287,1.568235409927116
-123.879,41.741,24.99653,1.3978797244141252
-124.431,41.724,36.52751,1.5626200683214924
-123.68,41.749,24.78079,1.3941151473657842
-124.232,41.733,31.9051,1.5038601101676292
-124.033,41.743,26.14846,1.4174461164080174
-124.584,41.725,37.02177,1.5684571784054586
-123.833,41.751,24.86076,1.3955144010055909
-124.385,41.735,35.891,1.5549855588746626
-124.186,41.744,30.07688,1.4782327830811426
-123.986,41.753,25.58079,1.4079139524703466
-124.538,41.736,37.02114,1.5684497879470447
-123.787,41.762,24.8024,1.3944937072909591
-124.339,41.746,35.50139,1.5502453574920474
-124.14,41.755,28.3878,1.4531317368413936
-124.691,41.737,37.01405,1.5683666072896814
-123.94,41.764,25.22937,1.4019064059301922
-124.492,41.747,37.02477,1.568492369339334
-123.741,41.773,24.78377,1.3941673700651336
-124.293,41.757,34.69833,1.5403085730837311
-124.093,41.766,27.13454,1.4335224635733164
-124.645,41.748,37.02508,1.568496005573287
-123.894,41.775,25.02957,1.3984533886321413
-124.446,41.758,36.65205,1.5640982703493016
-123.694,41.783,24.7852,1.3941924277215385
-124.247,41.768,32.18515,1.5076555375140943
-124.047,41.777,26.24607,1.419064282786124
-124.599,41.759,37.02351,1.5684775894944207
-123.848,41.785,24.91066,1.3963852341828686
-124.4,41.769,35.95501,1.5557594138776598
-124.2,41.778,30.28596,1.4812413444214694
-124.752,41.76,37.01743,1.568406263807418
-124.001,41.787,25.64747,1.4090445304914458
-124.553,41.77,37.01107,1.5683316408470258
-123.801,41.796,24.84091,1.3951675013571831
-124.354,41.78,35.55458,1.550895552762259
-124.154,41.789,28.57572,1.4559971817825463
-124.706,41.771,37.02072,1.5684448609048984
-123.955,41.798,25.27584,1.402705597549007
-124.507,41.781,37.02821,1.5685327181009592
-123.755,41.807,24.80392,1.3945203219486355
-124.307,41.791,35.08185,1.545082487305371
-124.108,41.8,27.27629,1.435785299191947
-124.66,41.782,37.0271,1.5685196989974013
-123.908,41.809,25.0635,1.3990417180766928
-124.461,41.792,36.79272,1.5657618953963628
-123.709,41.817,24.7724,1.3939680839481523
-124.261,41.802,32.48611,1.5116977105238618
-124.062,41.811,26.34399,1.4206815528486418
-124.614,41.793,37.03265,1.5685847906127277
-123.862,41.82,24.92499,1.396634992743144
-124.415,41.803,36.05877,1.5570109084284416
-124.215,41.812,30.52052,1.484591928732605
-124.767,41.794,37.03524,1.5686151633615282
-124.015,41.821,25.71415,1.410172172973235
-124.568,41.804,37.03173,1.5685740013258025
-123.816,41.83,24.83792,1.3951152239383124
-124.368,41.814,35.61828,1.55167294363524
-124.169,41.823,28.79947,1.4593844954608497
-124.721,41.805,37.03153,1.5685716557931757
-123.969,41.832,25.32142,1.4034880568299963
-124.522,41.815,37.0349,1.568611176326433
-123.77,41.841,24.82386,1.3948693132770875
-124.322,41.825,35.34914,1.548378852424355
-124.123,41.834,27.44722,1.438498363365329
-124.675,41.816,37.03676,1.5686329873061384
-123.923,41.843,25.09351,1.399561413288076
-124.476,41.826,36.94026,1.567499947849429
-123.723,41.852,24.81433,1.3947025535115365
-124.276,41.836,32.79944,1.515866428864544
-124.076,41.845,26.46635,1.4226940514577358
-124.629,41.827,37.04543,1.568734640164276
-123.877,41.854,24.94548,1.3969918650338975
-124.429,41.837,36.15587,1.558178816199128
-124.23,41.847,30.75779,1.4879551274465102
-124.782,41.829,37.03973,1.5686678122448456
-124.03,41.856,25.79057,1.4114609406303424
-124.583,41.838,37.04057,1.5686776612158897
-123.83,41.864,24.88224,1.395889474726561
-124.383,41.848,35.65766,1.5521528396124118
-124.183,41.857,29.02089,1.4627107270597457
-124.736,41.84,37.02477,1.568492369339334
-123.984,41.866,25.37724,1.404444386949003
-124.537,41.849,37.03965,1.5686668742359544
-123.784,41.875,24.83062,1.3949875636631877
-124.337,41.859,35.36895,1.548622167081511
-124.137,41.868,27.59637,1.4408519591431277
-124.69,41.851,37.02284,1.568469730165693
-123.937,41.877,25.1277,1.4001527383728456
-124.49,41.86,37.03521,1.5686148115657863
-123.738,41.886,24.83959,1.3951444231387171
-124.291,41.87,33.12616,1.5201710951796803
-124.843,41.851,37.04904,1.568776959195127
-124.091,41.879,26.59159,1.4247443060258629
-124.644,41.861,37.03309,1.568589950611724
-123.891,41.888,24.98427,1.3976666645809523
-124.444,41.871,36.2564,1.5593846795787822
-124.244,41.881,30.99891,1.49134642321144
-124.797,41.863,37.05376,1.5688322842289275
-124.045,41.89,25.88241,1.413004712528784
-124.598,41.872,37.04484,1.5687277233655026
-123.845,41.898,24.89759,1.39615731093687
-124.398,41.882,35.73322,1.553072153208376
-124.198,41.891,29.24826,1.4661000346959492
-124.751,41.874,37.04286,1.5687045102525463
-123.998,41.9,25.42983,1.405343456899708
-124.551,41.883,37.04863,1.5687721530861742
-123.798,41.909,24.86666,1.3956174563201538
-124.352,41.893,35.43551,1.5494386876574868
-124.152,41.902,27.77929,1.4437211415807687
-124.705,41.885,37.05307,1.5688241968989871
-123.952,41.911,25.15624,1.400645729409128
-124.505,41.894,37.06047,1.5689109227301044
-123.752,41.92,24.82208,1.3948381709851652
-124.305,41.904,33.46497,1.5245904400121533
-124.858,41.885,37.05827,1.5688851411838862
-124.106,41.913,26.69922,1.426498573924725
-124.659,41.896,37.06513,1.5689655276786871
-123.906,41.922,25.01623,1.398221861170264
-124.459,41.905,36.3694,1.5607361363904682
-123.706,41.93,24.83265,1.3950230674791368
-124.259,41.915,31.24844,1.4948283411584071
-124.812,41.897,37.03331,1.568592530588232
-124.059,41.924,25.97305,1.4145229515697482
-124.612,41.906,37.04721,1.5687555071269847
-123.859,41.933,24.90615,1.39630659935584
-124.413,41.916,35.82216,1.554151769335412
-124.213,41.926,29.49247,1.4697111463208494
-124.766,41.908,37.05862,1.5688892428958892
-124.013,41.935,25.47756,1.4061578330323383
-124.566,41.917,37.05795,1.568881391013297
-123.813,41.943,24.86278,1.3955496871036412
-124.366,41.927,35.44891,1.5496028858304232
-124.167,41.936,27.94395,1.4462877955488749
-124.72,41.919,37.05493,1.5688459971833426
-123.967,41.945,25.18896,1.4012102367484016
-124.52,41.928,37.04516,1.5687314748632544
-123.767,41.954,24.85767,1.3954604182088368
-124.32,41.938,33.8153,1.5291132447191207
-124.873,41.919,37.05785,1.5688802190783468
