Longitude,Latitude,D (m),log(d)
-90.558,35.009,0.66524,-0.1770216451154849
-90.624,35.012,0.63977,-0.1939761286469186
-90.69,35.014,0.58875,-0.2300690798630474
-90.756,35.016,0.52311,-0.2814069777295742
-89.958,35.039,0.29631,-0.5282536915117328
-90.025,35.041,0.34942,-0.4566522406208236
-90.091,35.044,0.41269,-0.384376054498974
-90.157,35.047,0.48058,-0.3182343069203276
-90.223,35.05,0.55498,-0.2557226674109171
-90.29,35.052,0.63237,-0.199028741433535
-90.687,35.068,0.68975,-0.1613082908487769
-90.754,35.07,0.60846,-0.2157679669002624
-90.82,35.072,0.52312,-0.2813986756452922
-89.889,35.089,0.29755,-0.5264400453991868
-89.955,35.092,0.35437,-0.4505430514179845
-90.021,35.095,0.42563,-0.3709677689289722
-90.088,35.098,0.50605,-0.2958065708058452
-90.154,35.1,0.59015,-0.2290375885398051
-90.817,35.126,0.62168,-0.2064331040478856
-89.819,35.14,0.28629,-0.5431938214533117
-89.885,35.143,0.34932,-0.4567765485135643
-89.951,35.146,0.42627,-0.370315231023798
-89.749,35.19,0.27315,-0.5635987951493987
-89.815,35.193,0.33735,-0.4719192855086866
-89.882,35.196,0.41678,-0.3800931296750372
-89.679,35.241,0.26167,-0.5822460655958657
-84.206,35.243,0.01439,-1.8419392060633948
-89.745,35.244,0.32329,-0.4904077287691624
-89.812,35.247,0.40027,-0.3976469587899651
-84.272,35.249,0.01513,-1.820161071976813
-84.338,35.255,0.01539,-1.8127613801685212
-84.404,35.261,0.01546,-1.810790510417694
-84.132,35.29,0.01536,-1.8136087843045068
-89.675,35.295,0.3126,-0.5050110263168319
-84.198,35.296,0.02935,-1.5323918944163668
-89.742,35.298,0.38418,-0.4154652477921887
-89.808,35.301,0.4785,-0.3201180578871376
-84.264,35.302,0.01828,-1.7380238086021873
-84.33,35.308,0.0188,-1.7258421507363202
-84.397,35.314,0.02074,-1.6831912479469775
-84.463,35.32,0.0156,-1.8068754016455384
-84.125,35.343,0.01531,-1.815024809301739
-89.605,35.345,0.30354,-0.517784070207789
-89.671,35.348,0.37041,-0.4313172971353651
-84.191,35.349,0.01696,-1.770574152079305
-89.738,35.351,0.45835,-0.3388027643138962
-84.257,35.355,0.0176,-1.75448733218585
-84.323,35.361,0.01803,-1.744004273277598
-84.389,35.367,0.0177,-1.7520267336381934
-84.455,35.373,0.01583,-1.800519085137644
-89.535,35.396,0.29832,-0.5253176296467492
-84.117,35.396,0.01963,-1.7070797003999938
-89.601,35.399,0.37233,-0.4290719696651629
-89.668,35.402,0.44423,-0.3523921157683828
-84.183,35.402,0.02271,-1.643782865780265
-84.249,35.409,0.01895,-1.7223907856959089
-84.316,35.415,0.02166,-1.6643415477106984
-84.382,35.421,0.01879,-1.7260732198994744
-84.448,35.427,0.01584,-1.8002448227465253
-89.398,35.443,0.2496,-0.6027554189896136
-89.464,35.446,0.29817,-0.5255360546787151
-89.531,35.449,0.35491,-0.4498817637303595
-84.109,35.45,0.01605,-1.7945249632591092
-89.597,35.452,0.43331,-0.3632012881299339
-84.176,35.456,0.01713,-1.7662426370344897
