Longitude,Latitude,D (m),log(d)
-72.205,44.43,0.00106,-2.9746941347352296
-73.591,44.447,0.00498,-2.3027706572402824
-72.916,44.455,0.002,-2.6989700043360187
-72.45,44.473,0.00117,-2.9318141382538383
-73.75,44.473,0.00591,-2.2284125191187445
-71.411,44.474,0.00121,-2.91721462968355
-73.075,44.482,0.00262,-2.5816987086802548
-73.91,44.499,0.00773,-2.111820506081675
-73.235,44.509,0.00343,-2.4647058799572297
-72.695,44.515,0.00153,-2.815308569182401
-71.655,44.518,0.00106,-2.9746941347352296
-73.394,44.535,0.00431,-2.3655227298392685
-73.554,44.561,0.00528,-2.277366077466188
-71.9,44.562,0.00095,-3.0222763947111524
-72.878,44.569,0.00201,-2.696803942579511
-73.714,44.587,0.00685,-2.1643094285075746
-73.037,44.596,0.00265,-2.576754126063192
-71.104,44.604,0.00118,-2.9281179926938745
-72.145,44.605,0.00094,-3.026872146400301
-73.874,44.613,0.00741,-2.130181792020672
-73.197,44.622,0.00352,-2.453457336521869
-72.39,44.647,0.00109,-2.962573502059376
-71.349,44.648,0.00101,-2.9956786262173574
-73.357,44.649,0.00441,-2.3555614105321614
-73.517,44.675,0.00567,-2.2464169411070936
-72.84,44.682,0.00198,-2.703334809738469
-72.636,44.689,0.00145,-2.838631997765025
-71.594,44.692,0.00086,-3.065501548756432
-73.677,44.701,0.00731,-2.13608262304214
-73.0,44.709,0.00274,-2.562249437179612
-73.838,44.727,0.00753,-2.1232050237992994
-73.16,44.736,0.00344,-2.46344155742847
-71.839,44.736,0.00079,-3.1023729087095586
-73.998,44.753,0.00791,-2.101823516502324
-73.32,44.762,0.0045,-2.3467874862246565
-71.041,44.778,0.00097,-3.0132282657337552
-72.085,44.779,0.00081,-3.0915149811213505
-73.48,44.789,0.00614,-2.211831628858832
-72.802,44.796,0.00196,-2.707743928643524
-73.641,44.815,0.00709,-2.1493537648169334
-72.331,44.822,0.00098,-3.0087739243075053
-71.286,44.822,0.0008,-3.096910013008056
-72.962,44.823,0.00253,-2.596879478824182
-73.801,44.841,0.00791,-2.101823516502324
-73.122,44.85,0.00335,-2.474955192963155
-72.577,44.864,0.00133,-2.876148359032914
-73.962,44.866,0.00849,-2.071092309756047
-71.532,44.867,0.0007,-3.154901959985743
-73.283,44.876,0.00454,-2.342944147142896
-73.443,44.903,0.0059,-2.229147988357856
-71.778,44.91,0.00064,-3.193820026016113
-73.604,44.929,0.00726,-2.1390633792999063
-72.924,44.937,0.00239,-2.6216020990518625
-70.978,44.952,0.00077,-3.113509274827518
-72.024,44.954,0.00068,-3.167491087293764
-73.765,44.955,0.0082,-2.0861861476162837
-73.085,44.963,0.0032,-2.494850021680094
-73.926,44.98,0.00941,-2.026410376572743
-73.245,44.99,0.00432,-2.364516253185088
-72.271,44.996,0.00084,-3.0757207139381184
-71.224,44.997,0.00064,-3.193820026016113
-71.47,45.041,0.00056,-3.2518119729938
-70.914,45.126,0.00061,-3.214670164989233
-71.161,45.171,0.00052,-3.283996656365201
-72.664,42.299,0.0004,-3.397940008672037
-72.901,42.34,0.00036,-3.4436974992327127
-73.139,42.381,0.00035,-3.4559319556497243
-72.131,42.388,0.00076,-3.1191864077192086
-73.377,42.422,0.00039,-3.408935392973501
-72.369,42.431,0.00058,-3.2365720064370627
-73.616,42.462,0.00047,-3.3279021420642825
-72.607,42.473,0.00045,-3.3467874862246565
-72.845,42.514,0.00039,-3.408935392973501
-73.083,42.555,0.00037,-3.431798275933005
-72.073,42.562,0.00116,-2.9355420107730814
-73.322,42.596,0.00041,-3.3872161432802645
-71.878,42.596,0.0018,-2.744727494896694
-72.311,42.604,0.00079,-3.1023729087095586
-73.561,42.636,0.00051,-3.292429823902064
-72.55,42.647,0.00057,-3.2441251443275085
-73.8,42.676,0.00064,-3.193820026016113
-72.788,42.688,0.00045,-3.3467874862246565
-73.027,42.729,0.00042,-3.3767507096021
-71.995,42.737,0.00191,-2.7189666327522723
-73.267,42.77,0.00045,-3.3467874862246565
-72.253,42.778,0.00114,-2.9430951486635277
-73.506,42.811,0.00054,-3.2676062401770314
-72.492,42.821,0.00074,-3.130768280269024
-71.957,42.85,0.00245,-2.6108339156354674
-73.746,42.85,0.00068,-3.167491087293764
-72.731,42.862,0.00055,-3.2596373105057563
-72.112,42.878,0.00179,-2.7471469690201067
-72.971,42.904,0.00049,-3.309803919971486
-73.211,42.945,0.00051,-3.292429823902064
-72.195,42.952,0.00156,-2.8068754016455384
-71.918,42.963,0.00291,-2.5361070110140926
-73.451,42.985,0.00061,-3.214670164989233
-72.074,42.991,0.00214,-2.669586226650809
-72.434,42.995,0.00097,-3.0132282657337552
-73.691,43.025,0.00075,-3.1249387366083
-72.674,43.036,0.00068,-3.167491087293764
-71.88,43.076,0.0032,-2.494850021680094
-72.914,43.078,0.00059,-3.229147988357856
-72.035,43.104,0.00238,-2.623423042943488
-73.155,43.119,0.00061,-3.214670164989233
-72.191,43.131,0.00169,-2.7721132953863266
-73.395,43.159,0.00073,-3.136677139879544
-72.376,43.169,0.00118,-2.9281179926938745
-71.841,43.189,0.00325,-2.4881166390211256
-73.636,43.2,0.00093,-3.0315170514460648
-72.616,43.211,0.00083,-3.0809219076239263
-71.997,43.217,0.00255,-2.593459819566045
-72.153,43.244,0.00182,-2.7399286120149253
-72.857,43.252,0.00071,-3.1487416512809245
-73.098,43.293,0.00075,-3.1249387366083
-71.802,43.302,0.00347,-2.4596705252091264
-71.958,43.33,0.00248,-2.605548319173784
-73.339,43.334,0.00093,-3.0315170514460648
-72.318,43.343,0.00134,-2.8728952016351923
-72.115,43.357,0.00189,-2.723538195826756
-73.581,43.374,0.00121,-2.91721462968355
-72.559,43.385,0.00097,-3.0132282657337552
-73.823,43.414,0.00158,-2.8013429130455774
-72.8,43.426,0.00085,-3.070581074285707
-71.92,43.443,0.00242,-2.616184634019569
-73.041,43.468,0.00093,-3.0315170514460648
-72.076,43.471,0.0019,-2.721246399047171
-73.283,43.508,0.00117,-2.9318141382538383
-73.722,43.512,0.00178,-2.749579997691106
-72.259,43.517,0.00142,-2.847711655616944
-71.724,43.528,0.00276,-2.5590909179347823
-73.879,43.538,0.00215,-2.6675615400843946
-73.525,43.549,0.00156,-2.8068754016455384
-71.881,43.556,0.00229,-2.640164517660112
-72.5,43.559,0.00108,-2.96657624451305
-72.038,43.584,0.00186,-2.7304870557820835
-72.742,43.601,0.00099,-3.00436480540245
-73.686,43.626,0.00213,-2.6716203965612624
-71.685,43.641,0.00249,-2.603800652904264
-72.984,43.642,0.0011,-2.958607314841775
-73.844,43.652,0.00265,-2.576754126063192
-71.842,43.669,0.00214,-2.669586226650809
-74.002,43.677,0.00347,-2.4596705252091264
-73.227,43.683,0.00141,-2.85078088734462
-72.2,43.691,0.00145,-2.838631997765025
-71.999,43.697,0.00184,-2.735182176990464
-73.492,43.713,0.00201,-2.696803942579511
-72.442,43.733,0.00115,-2.939302159646388
-73.65,43.739,0.00247,-2.607303046740334
-71.645,43.754,0.00224,-2.6497519816658373
-73.808,43.765,0.00316,-2.500312917381596
-72.684,43.775,0.00109,-2.962573502059376
-71.803,43.782,0.002,-2.6989700043360187
-73.966,43.791,0.00419,-2.377785977033705
-71.96,43.81,0.00168,-2.774690718274137
-72.927,43.817,0.00125,-2.903089986991944
