Longitude,Latitude,D (m),log(d)
-120.728,48.775,0.11752,-0.9298882172178
-122.001,48.776,0.47734,-0.3211721712247929
-117.36,48.777,0.03625,-1.4406919890929877
-122.341,48.777,0.72584,-0.1391591021307772
-118.469,48.78,0.03971,-1.401100112936117
-120.007,48.786,0.08273,-1.082336975672625
-121.28,48.793,0.20657,-0.6849327504857837
-122.225,48.8,0.64824,-0.188264174100943
-120.56,48.806,0.10209,-0.9910167961845282
-121.833,48.809,0.39892,-0.3991141896317515
-122.608,48.809,1.19608,0.0777602284789908
-119.838,48.816,0.07185,-1.1435732275297557
-117.098,48.819,0.03764,-1.4243503852447807
-119.318,48.82,0.05594,-1.2522775379644917
-122.109,48.823,0.61457,-0.2114286434816105
-118.208,48.824,0.03745,-1.4265481779645148
-121.112,48.825,0.16182,-0.7909678031634652
-122.492,48.832,0.88819,-0.0514941207922316
-120.391,48.838,0.08876,-1.0517827064400294
-121.665,48.842,0.28686,-0.542330005920567
-121.993,48.846,0.6068,-0.2169544278853071
-119.669,48.847,0.06327,-1.1988021655408512
-122.376,48.856,0.69478,-0.158152691685292
-120.944,48.857,0.12946,-0.8878643973180884
-116.836,48.861,0.03745,-1.4265481779645148
-119.057,48.866,0.04674,-1.330311291943792
-117.946,48.868,0.0358,-1.4461169733561257
-120.222,48.869,0.07959,-1.0991414952980083
-121.497,48.874,0.23232,-0.6339134009800003
-119.5,48.877,0.05823,-1.234853209891975
-122.259,48.879,0.67361,-0.1715914741916276
-122.643,48.887,1.10489,0.043319042934271
-120.775,48.889,0.11141,-0.9530758257699652
-120.053,48.9,0.07256,-1.1393027259479611
-122.143,48.902,2.32469,0.3663650474343137
-121.328,48.907,0.1898,-0.7217037919087261
-122.526,48.911,0.89674,-0.0473334576617913
-117.685,48.911,0.03706,-1.4310945850171213
-118.796,48.911,0.04367,-1.35981680807866
-120.606,48.921,0.0949,-1.0227337875727074
-121.882,48.922,0.60459,-0.2185390403879987
-122.027,48.925,3.24892,0.5117390175972746
-119.884,48.931,0.0646,-1.1897674820049158
-122.41,48.934,0.67409,-0.1712821154914301
-121.16,48.939,0.14844,-0.8284490543232546
-122.794,48.942,1.20428,0.080727473896311
-121.91,48.948,0.83254,-0.0795948913208023
-120.437,48.952,0.08056,-1.0938805424544384
-117.423,48.954,0.03591,-1.4447845948739269
-121.714,48.955,0.30467,-0.5161703074310594
-118.535,48.956,0.03786,-1.421819390372222
-122.294,48.957,0.61711,-0.2096374159748031
-119.714,48.961,0.0579,-1.2373214362725635
-122.677,48.966,0.99742,-0.0011219276731461
-120.991,48.971,0.12139,-0.9158170885795264
-122.177,48.981,1.54409,0.1886726103547927
-120.268,48.983,0.07278,-1.1379879487497837
-121.545,48.988,0.224,-0.6497519816658371
-122.561,48.989,0.84714,-0.072044811389334
-117.16,48.996,0.0373,-1.4282911681913124
-119.386,48.996,0.05255,-1.2794272796357389
-122.45,45.254,1.24137,0.0939012456475023
-122.291,45.287,0.90039,-0.0455693370488343
-122.132,45.32,0.64072,-0.193331719345002
-122.656,45.333,2.02179,0.3057360441444341
-120.765,45.353,0.07746,-1.110922507349936
-121.973,45.353,0.46636,-0.3312787063713606
-122.497,45.366,1.44544,0.1600000688813002
-121.289,45.37,0.14212,-0.8473448011827097
-121.814,45.386,0.34839,-0.45793431924172
-122.338,45.4,1.02983,0.0127655391174381
-121.129,45.402,0.11806,-0.927897221114824
-122.863,45.411,3.36251,0.5266635845906461
-120.445,45.415,0.07393,-1.1311792938024827
-122.976,45.418,4.40764,0.6442061156989468
-121.654,45.418,0.26406,-0.5782973810534112
-122.179,45.433,0.73889,-0.1314202110623024
-120.969,45.434,0.0943,-1.0254883072626717
-122.704,45.445,2.36333,0.3735243679178636
-120.284,45.446,0.07188,-1.1433919315630638
