Longitude,Latitude,D (m),log(d)
-104.308,41.479,0.00014,-3.853871964321762
-103.947,41.505,0.0001,-4.0
-103.587,41.53,7e-05,-4.154901959985743
-104.343,41.746,0.00021,-3.677780705266081
-103.981,41.772,0.00014,-3.853871964321762
-103.619,41.797,0.00011,-3.958607314841775
-104.016,42.039,0.00023,-3.638272163982407
-103.652,42.064,0.00019,-3.721246399047171
-104.301,44.178,0.00023,-3.638272163982407
-103.926,44.204,0.00021,-3.677780705266081
-103.551,44.228,0.00018,-3.744727494896694
-104.714,44.419,0.00026,-3.5850266520291822
-104.338,44.446,0.00018,-3.744727494896694
-103.962,44.472,0.00015,-3.823908740944319
-103.585,44.496,0.00013,-3.886056647693163
-104.753,44.687,0.00021,-3.677780705266081
-104.375,44.714,0.00015,-3.823908740944319
-103.998,44.74,0.00012,-3.9208187539523753
-103.62,44.765,9e-05,-4.045757490560675
-105.17,44.926,0.00024,-3.619788758288394
-104.792,44.955,0.00016,-3.795880017344075
-104.413,44.982,0.00012,-3.9208187539523753
-104.034,45.008,9e-05,-4.045757490560675
-103.654,45.033,7e-05,-4.154901959985743
-105.591,45.165,0.00027,-3.5686362358410126
-105.211,45.195,0.00019,-3.721246399047171
-104.831,45.223,0.00013,-3.886056647693163
-104.451,45.25,9e-05,-4.045757490560675
-104.07,45.277,7e-05,-4.154901959985743
-103.689,45.302,5e-05,-4.301029995663981
-106.014,45.403,0.00025,-3.6020599913279625
-105.633,45.433,0.00019,-3.721246399047171
-110.865,41.944,6.78866,0.8317840582219747
-110.923,42.626,6.73975,0.8286437873907899
-110.979,42.656,6.67363,0.8243621247921501
-110.931,42.662,6.90315,0.8390473103670854
-110.988,42.691,6.92907,0.8406749487573048
-110.939,42.697,7.06999,0.8494187995185556
-110.996,42.726,6.96206,0.8427377617745594
-110.947,42.732,7.12309,0.8526684316752504
-110.899,42.738,5.79245,0.7628622936803446
-111.004,42.762,6.6555,0.8231806877722362
-110.705,42.762,6.48276,0.8117599437677951
-110.956,42.767,7.15301,0.8544888321941275
-110.907,42.773,7.63801,0.882980222634049
-110.859,42.779,4.57778,0.6606549174163225
-111.012,42.797,6.4939,0.8125055966117296
-110.964,42.803,7.15977,0.8548990712833843
-110.915,42.809,7.60594,0.8811528951260905
-110.867,42.815,5.29405,0.7237880387072169
-110.818,42.821,5.87454,0.7689738652785687
-110.972,42.838,6.88565,0.8379449435891332
-110.924,42.844,7.4376,0.871432817950889
-110.875,42.85,6.05185,0.7818881551443407
-110.826,42.856,5.3877,0.7314034051704938
-110.98,42.873,6.42076,0.8075864368338534
-110.932,42.879,7.15149,0.8543965356979232
-110.883,42.885,6.98837,0.8443758906875937
-110.835,42.891,5.1721,0.7136669131589257
-110.989,42.909,6.26039,0.7966013890526195
-110.94,42.915,6.78251,0.8313904427493901
-110.891,42.921,5.28327,0.7229028057491779
-110.997,42.944,5.77566,0.7616016193832638
-110.948,42.95,6.37125,0.8042246465967644
-110.9,42.956,4.23833,0.6271947682311902
-111.005,42.979,5.1248,0.7096769213197465
-110.956,42.985,5.70676,0.7563896085105217
-110.508,44.093,2.2627,0.3546269768529491
