Longitude,Latitude,D (m),log(d)
-89.028,36.196,0.16856,-0.7732454773999563
-89.792,36.196,0.43489,-0.3616205785263177
-89.837,36.198,0.35905,-0.4448450689368114
-89.072,36.199,0.21297,-0.6716815691061769
-89.882,36.2,0.3024,-0.519418213170831
-89.117,36.201,0.26729,-0.5730172890027532
-89.926,36.202,0.25419,-0.5948415388734545
-89.162,36.203,0.33314,-0.4773732185957558
-89.207,36.205,0.43376,-0.3627504997635897
-89.252,36.207,0.53569,-0.2710864607493261
-89.296,36.209,0.66655,-0.1761672672409245
-89.341,36.212,0.75284,-0.1232973139727123
-89.386,36.214,0.90809,-0.0418711068022708
-89.431,36.216,1.1009,0.0417478717232662
-89.476,36.218,1.46307,0.1652651052684886
-88.756,36.218,0.03616,-1.4417715781966742
-89.521,36.22,1.5752,0.1973357031300617
-88.801,36.221,0.05089,-1.2933675491267054
-89.565,36.222,1.30274,0.1148577481512243
-88.845,36.223,0.07007,-1.1544678825064243
-89.61,36.224,1.04045,0.0172212145372184
-88.89,36.225,0.09609,-1.0173218066165155
-89.655,36.226,0.80241,-0.0956036675776719
-88.935,36.227,0.11065,-0.9560485817367232
-89.7,36.228,0.61847,-0.2086813617591055
-88.98,36.23,0.13236,-0.8782432415121846
-89.745,36.23,0.49304,-0.307117845277381
-89.025,36.232,0.16906,-0.7719591353603678
-89.79,36.232,0.41872,-0.3780762947041942
-89.834,36.234,0.34426,-0.4631134355830448
-89.07,36.234,0.21253,-0.6725797577790287
-89.879,36.236,0.28849,-0.5398692363040503
-89.114,36.236,0.26328,-0.5795821307136828
-89.924,36.238,0.24362,-0.6132870611414037
-89.159,36.239,0.32913,-0.4826325302226308
-89.969,36.24,0.20921,-0.6794175605264485
-89.204,36.241,0.41435,-0.382632656820281
-89.249,36.243,0.51204,-0.290696111093063
-89.294,36.245,0.60317,-0.2195602672020435
-89.339,36.247,0.70288,-0.1531188140787548
-89.383,36.249,0.84331,-0.0740127497629365
