Longitude,Latitude,D (m),log(d)
-92.273,33.102,2e-05,-4.698970004336019
-92.95,33.224,1e-05,-5.0
-93.274,33.23,1e-05,-5.0
-93.598,33.234,1e-05,-5.0
-90.755,33.235,2e-05,-4.698970004336019
-93.922,33.238,1e-05,-5.0
-94.246,33.24,1e-05,-5.0
-90.971,33.243,2e-05,-4.698970004336019
-91.187,33.25,2e-05,-4.698970004336019
-91.403,33.257,2e-05,-4.698970004336019
-91.619,33.264,2e-05,-4.698970004336019
-91.835,33.27,2e-05,-4.698970004336019
-92.051,33.276,2e-05,-4.698970004336019
-92.267,33.281,2e-05,-4.698970004336019
-92.483,33.286,2e-05,-4.698970004336019
-92.699,33.291,2e-05,-4.698970004336019
-90.962,33.422,1e-05,-5.0
-91.178,33.429,1e-05,-5.0
-91.395,33.436,1e-05,-5.0
-91.611,33.443,1e-05,-5.0
-91.827,33.449,2e-05,-4.698970004336019
-92.044,33.455,2e-05,-4.698970004336019
-92.26,33.46,2e-05,-4.698970004336019
-92.477,33.465,2e-05,-4.698970004336019
-89.339,29.32,0.0,1e-06
-89.647,29.336,1e-05,-5.0
-89.956,29.351,1e-05,-5.0
-90.264,29.364,0.0,1e-06
-90.573,29.377,0.0,1e-06
-90.881,29.39,0.0,1e-06
-91.19,29.401,0.0,1e-06
-89.63,29.606,0.0,1e-06
-89.939,29.621,0.0,1e-06
-90.249,29.635,0.0,1e-06
-90.558,29.648,0.0,1e-06
-90.868,29.66,0.0,1e-06
-91.177,29.671,0.0,1e-06
-91.487,29.682,0.0,1e-06
-92.528,29.73,0.0,1e-06
-93.045,29.741,0.0,1e-06
-94.08,29.754,0.0,1e-06
-89.302,29.86,0.0,1e-06
-89.923,29.891,0.0,1e-06
-90.233,29.905,0.0,1e-06
-90.544,29.918,0.0,1e-06
-90.854,29.93,0.0,1e-06
-91.165,29.942,0.0,1e-06
-91.476,29.952,0.0,1e-06
-91.787,29.962,0.0,1e-06
-89.906,30.161,0.0,1e-06
-90.217,30.175,0.0,1e-06
-92.515,30.181,0.0,1e-06
-90.529,30.188,0.0,1e-06
-90.841,30.2,0.0,1e-06
-94.075,30.205,0.0,1e-06
-91.152,30.212,0.0,1e-06
-91.464,30.222,0.0,1e-06
-91.776,30.232,0.0,1e-06
-92.088,30.241,0.0,1e-06
-92.4,30.248,0.0,1e-06
-92.712,30.255,0.0,1e-06
-93.024,30.261,0.0,1e-06
-93.337,30.267,0.0,1e-06
-93.649,30.271,0.0,1e-06
-89.264,30.4,1e-05,-5.0
-89.577,30.416,0.0,1e-06
-89.889,30.431,0.0,1e-06
-90.202,30.445,0.0,1e-06
-90.514,30.458,0.0,1e-06
-90.827,30.47,0.0,1e-06
-91.14,30.482,0.0,1e-06
-91.453,30.492,0.0,1e-06
-91.765,30.502,0.0,1e-06
-92.078,30.511,0.0,1e-06
-92.392,30.518,0.0,1e-06
-92.705,30.525,0.0,1e-06
-93.018,30.531,0.0,1e-06
-93.331,30.537,0.0,1e-06
-93.644,30.541,1e-05,-5.0
-93.958,30.544,0.0,1e-06
-89.246,30.669,1e-05,-5.0
