Longitude,Latitude,D (m),log(d)
-89.196,34.507,0.00034,-3.4685210829577446
-87.606,34.511,0.00014,-3.853871964321762
-89.338,34.514,0.00049,-3.309803919971486
-89.481,34.521,0.00075,-3.1249387366083
-87.825,34.525,0.00015,-3.823908740944319
-89.623,34.528,0.00119,-2.9244530386074694
-89.766,34.534,0.00195,-2.709965388637482
-88.044,34.538,0.00016,-3.795880017344075
-89.909,34.541,0.00315,-2.5016894462104
-90.051,34.547,0.00461,-2.336299074610352
-90.194,34.553,0.00595,-2.2254830342714502
-90.336,34.558,0.00682,-2.166215625343521
-90.479,34.564,0.00715,-2.1456939581989194
-88.189,34.569,0.00016,-3.795880017344075
-90.622,34.57,0.00701,-2.154281982033341
-90.764,34.575,0.00647,-2.1890957193312994
-88.332,34.578,0.00016,-3.795880017344075
-90.907,34.58,0.00565,-2.2479515521805613
-91.05,34.585,0.00451,-2.34582345812204
-88.474,34.586,0.00017,-3.769551078621726
-91.192,34.59,0.00329,-2.4828041020500256
-88.617,34.593,0.00018,-3.744727494896694
-88.759,34.601,0.0002,-3.6989700043360183
-88.902,34.609,0.00025,-3.6020599913279625
-89.045,34.616,0.00034,-3.4685210829577446
-89.187,34.623,0.0005,-3.3010299956639813
-89.33,34.63,0.0008,-3.096910013008056
-89.473,34.637,0.00132,-2.87942606879415
-89.615,34.644,0.00227,-2.643974142806877
-89.758,34.65,0.00382,-2.417936637088291
-89.901,34.657,0.00591,-2.2284125191187445
-90.044,34.663,0.00793,-2.1007268126823964
-87.894,34.668,0.00016,-3.795880017344075
-90.186,34.669,0.00953,-2.020907099361674
-90.329,34.675,0.01016,-1.9931062920520997
-88.037,34.677,0.00016,-3.795880017344075
-90.472,34.68,0.01027,-1.988429556402722
-88.179,34.685,0.00016,-3.795880017344075
-90.615,34.686,0.01018,-1.99225222199926
-87.589,34.69,0.00015,-3.823908740944319
-90.758,34.691,0.00957,-2.0190880622231564
-88.322,34.693,0.00017,-3.769551078621726
-90.901,34.696,0.00867,-2.0619809025237896
-91.044,34.701,0.00721,-2.142064735280571
-88.465,34.702,0.00018,-3.744727494896694
-88.607,34.709,0.00021,-3.677780705266081
-88.75,34.717,0.00025,-3.6020599913279625
-88.893,34.725,0.00035,-3.4559319556497243
-89.036,34.732,0.00052,-3.283996656365201
-89.179,34.739,0.00083,-3.0809219076239263
-89.321,34.746,0.0014,-2.853871964321762
-89.464,34.753,0.00243,-2.614393726401688
-90.514,34.756,0.01168,-1.9325571572236195
-90.613,34.76,0.01149,-1.9396799713117148
-89.607,34.76,0.00411,-2.3861581781239307
-90.712,34.763,0.0111,-1.9546770212133424
-89.75,34.766,0.00646,-2.189767482004916
-89.893,34.773,0.00926,-2.033389013318066
-87.74,34.775,0.00016,-3.795880017344075
-90.036,34.779,0.01068,-1.9714287473074623
-87.883,34.784,0.00016,-3.795880017344075
-90.179,34.785,0.01177,-1.9292235371565651
-88.026,34.793,0.00017,-3.769551078621726
-88.169,34.801,0.00017,-3.769551078621726
-88.312,34.809,0.00018,-3.744727494896694
-90.895,34.812,0.01091,-1.9621752494116584
-91.038,34.817,0.00988,-2.005243055412372
-88.455,34.817,0.00021,-3.677780705266081
-90.113,34.82,0.01224,-1.9122185821904576
