Longitude,Latitude,D (m),log(d)
-75.262,38.637,1e-05,-5.0
-75.532,38.954,1e-05,-5.0
-74.775,39.105,1e-05,-5.0
-75.461,39.216,2e-05,-4.698970004336019
-75.804,39.27,2e-05,-4.698970004336019
-74.701,39.367,1e-05,-5.0
-75.98,39.37,2e-05,-4.698970004336019
-75.045,39.423,2e-05,-4.698970004336019
-75.473,39.473,2e-05,-4.698970004336019
-75.703,39.509,3e-05,-4.522878745280337
-75.933,39.545,3e-05,-4.522878745280337
-74.282,39.571,2e-05,-4.698970004336019
-74.965,39.574,2e-05,-4.698970004336019
-75.195,39.611,3e-05,-4.522878745280337
-74.626,39.628,2e-05,-4.698970004336019
-75.425,39.648,3e-05,-4.522878745280337
-75.655,39.684,3e-05,-4.522878745280337
-74.686,39.711,3e-05,-4.522878745280337
-75.886,39.72,3e-05,-4.522878745280337
-74.916,39.748,3e-05,-4.522878745280337
-76.117,39.755,3e-05,-4.522878745280337
-75.146,39.786,3e-05,-4.522878745280337
-74.175,39.808,3e-05,-4.522878745280337
-75.377,39.822,3e-05,-4.522878745280337
-74.405,39.847,3e-05,-4.522878745280337
-75.608,39.859,3e-05,-4.522878745280337
-74.636,39.885,3e-05,-4.522878745280337
-75.839,39.895,4e-05,-4.3979400086720375
-74.866,39.923,4e-05,-4.3979400086720375
-75.097,39.96,4e-05,-4.3979400086720375
-74.124,39.983,4e-05,-4.3979400086720375
-75.328,39.997,4e-05,-4.3979400086720375
-74.354,40.021,4e-05,-4.3979400086720375
-75.56,40.034,4e-05,-4.3979400086720375
-74.585,40.06,5e-05,-4.301029995663981
-75.791,40.07,4e-05,-4.3979400086720375
-74.817,40.097,4e-05,-4.3979400086720375
-75.048,40.135,4e-05,-4.3979400086720375
-74.072,40.157,5e-05,-4.301029995663981
-75.28,40.172,4e-05,-4.3979400086720375
-74.303,40.196,6e-05,-4.221848749616356
-75.512,40.208,4e-05,-4.3979400086720375
-74.535,40.234,6e-05,-4.221848749616356
-74.767,40.272,5e-05,-4.301029995663981
-74.999,40.309,5e-05,-4.301029995663981
-74.02,40.331,7e-05,-4.154901959985743
-75.231,40.346,4e-05,-4.3979400086720375
-74.252,40.37,7e-05,-4.154901959985743
-75.463,40.383,4e-05,-4.3979400086720375
-74.484,40.408,7e-05,-4.154901959985743
-75.696,40.419,3e-05,-4.522878745280337
-74.716,40.446,6e-05,-4.221848749616356
-74.949,40.484,5e-05,-4.301029995663981
-74.313,40.513,9e-05,-4.045757490560675
-75.182,40.521,4e-05,-4.3979400086720375
-75.415,40.558,3e-05,-4.522878745280337
-73.977,40.575,9e-05,-4.045757490560675
-75.648,40.594,3e-05,-4.522878745280337
-74.129,40.601,9e-05,-4.045757490560675
-74.666,40.621,7e-05,-4.154901959985743
-74.28,40.626,9e-05,-4.045757490560675
-73.683,40.64,8e-05,-4.096910013008056
-74.431,40.651,9e-05,-4.045757490560675
-74.899,40.659,6e-05,-4.221848749616356
-73.792,40.663,9e-05,-4.045757490560675
-73.943,40.689,0.0001,-4.0
-75.132,40.696,4e-05,-4.3979400086720375
-74.095,40.714,0.0001,-4.0
-75.366,40.733,3e-05,-4.522878745280337
-74.246,40.739,0.0001,-4.0
-74.398,40.764,9e-05,-4.045757490560675
-75.6,40.769,3e-05,-4.522878745280337
-73.397,40.774,7e-05,-4.154901959985743
-73.758,40.776,9e-05,-4.045757490560675
-74.615,40.795,8e-05,-4.096910013008056
-73.909,40.802,0.0001,-4.0
-74.061,40.827,0.0001,-4.0
-74.849,40.833,6e-05,-4.221848749616356
-74.213,40.853,0.0001,-4.0
-75.083,40.871,4e-05,-4.3979400086720375
-74.364,40.878,9e-05,-4.045757490560675
-75.724,40.898,2e-05,-4.698970004336019
-75.317,40.907,3e-05,-4.522878745280337
-73.875,40.915,0.0001,-4.0
-74.027,40.941,0.00011,-3.958607314841775
-74.179,40.966,0.0001,-4.0
-74.564,40.97,8e-05,-4.096910013008056
-74.331,40.991,9e-05,-4.045757490560675
-73.689,41.003,9e-05,-4.045757490560675
-74.798,41.008,6e-05,-4.221848749616356
-73.841,41.028,0.0001,-4.0
-75.033,41.045,4e-05,-4.3979400086720375
-73.993,41.054,0.0001,-4.0
-74.145,41.079,0.0001,-4.0
-75.267,41.082,3e-05,-4.522878745280337
-74.297,41.104,9e-05,-4.045757490560675
-73.654,41.116,9e-05,-4.045757490560675
-73.806,41.142,0.0001,-4.0
-74.513,41.144,7e-05,-4.154901959985743
-75.651,41.161,2e-05,-4.698970004336019
-73.523,41.162,8e-05,-4.096910013008056
-73.959,41.167,0.0001,-4.0
-74.748,41.182,5e-05,-4.301029995663981
-74.111,41.193,9e-05,-4.045757490560675
-74.983,41.22,4e-05,-4.3979400086720375
-73.619,41.229,8e-05,-4.096910013008056
-73.772,41.255,9e-05,-4.045757490560675
-75.218,41.257,3e-05,-4.522878745280337
-74.226,41.28,8e-05,-4.096910013008056
-73.924,41.28,9e-05,-4.045757490560675
-74.077,41.306,8e-05,-4.096910013008056
-74.461,41.319,6e-05,-4.221848749616356
-74.697,41.357,4e-05,-4.3979400086720375
-75.224,41.368,2e-05,-4.698970004336019
-73.704,41.376,7e-05,-4.154901959985743
-74.932,41.395,3e-05,-4.522878745280337
-73.939,41.416,7e-05,-4.154901959985743
